"'Table 5-Elaeagnus,","'elaeagnus:","'","'germination test","'conditions","'and results","'for stratified","'seedlots*","'",
"'","'","'Germination test","'conditions","'","'Germinative","'","'","'",
"'","'","'Temp","'(C)","'","'energy","'","'Germinative","'capacity",
"'Species","'Medium","'Day","'Night","'Days","'Amt (%)","'Days","'Average","'Samples",
"'E. angustifolia","'Sand","'30","'20","'60","'7-76","'10-32","'7-79","'32",
"'","'Sand","'-","'-","'21-40","'-","'-","'54-90","'11",
"'","'Moss","'-","'-","'28","'27","'10","'30","'I",
"'","'Kimpak","'30","'20","'28","'","'","'68","'19",
"'E. commutata","'Sand","'30","'20","'50","'52","'13","'60","'I",
"'E. umbellata","'Kimpak","'30","'20","'28","'","'","'41","'57",
"'E. umbellata","'-","'30","'10","'-","'-","'-","'93","'-",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'95.50781250","'95.50781250","'95.50781250","'95.50781250","'95.50781250","'95.50781250","'95.50781250","'95.50781250","'95.50781250",
"'85.93750000","'89.89257813","'89.89257813","'89.89257813","'89.89257813","'95.70312500","'95.70312500","'92.52929688","'92.52929688",
"'85.93750000","'56.88476563","'46.58203125","'46.58203125","'88.81835938","'95.70312500","'95.70312500","'92.52929688","'92.52929688",
"'85.93750000","'56.88476563","'86.08398438","'87.89062500","'88.81835938","'92.04101563","'88.03710938","'91.65039063","'82.86132813",
"'60.74218750","'79.88281250","'78.07617188","'79.68750000","'78.41796875","'83.49609375","'79.83398438","'83.10546875","'75.14648438",
"'60.74218750","'78.17382813","'76.41601563","'78.02734375","'76.75781250","'81.73828125","'78.17382813","'81.34765625","'73.58398438",
"'60.74218750","'80.76171875","'78.95507813","'80.61523438","'79.29687500","'84.42382813","'80.71289063","'84.03320313","'76.02539063",
"'60.74218750","'79.78515625","'77.97851563","'79.58984375","'78.32031250","'83.39843750","'79.73632813","'83.00781250","'75.04882813",
"'85.54687500","'83.39843750","'81.49414063","'83.20312500","'81.88476563","'87.15820313","'83.34960938","'86.76757813","'78.46679688",
"'80.32226563","'78.27148438","'76.51367188","'78.12500000","'76.85546875","'81.83593750","'78.22265625","'81.44531250","'73.68164063",
"'71.58203125","'69.77539063","'68.21289063","'69.62890625","'68.50585938","'72.94921875","'69.72656250","'72.60742188","'65.67382813",
