"'Table I-Ephedra,","'ephedra: habit, habitat, and","'geographic distribution of","'some species used in","'revegetation",
"'Scientific name","'Common name(s)","'Habit","'Habitat","'Distribution",
"'E. nevadensis Wats.","'Nevada Mormon-tea, gray Mormon-tea, gray ephedra, gray Nevada joint-fir","'Sprawling, gray-green, leaves in pairs, bases","'Creosote bush shrub- land to pinyon-juniper woodlands","'W US",
"'E. torreyana S. Wats.","'Torrey Mormon-tea, Torrey ephedra, Torrey's joint-fir","'Sprawling, gray-green, leaves in whorls of 3, bases gray","'Creosote bush shrub to pinyon-juniper woodlands","'Colorado Plateau, Chihuahuan Desert",
"'E. viridis Coville","'green Mormon-tea, Brigham tea, green ephedra, Mormon-tea","'Erect, broomlike, bright green, leaves in pairs, bases black","'Blackbrush shrub land to mountain brush","'W US",
,,,,

'Confidence Scores % (Table Cell)
""'89.20898438","'89.20898438","'89.20898438","'89.20898438","'89.20898438",
"'87.45117188","'87.93945313","'88.03710938","'88.81835938","'88.28125000",
"'90.38085938","'90.86914063","'90.96679688","'91.79687500","'91.21093750",
"'82.76367188","'83.20312500","'83.30078125","'84.03320313","'83.49609375",
"'91.11328125","'91.65039063","'91.74804688","'92.52929688","'91.94335938",
