"'Table 3-Tsuga,","'hemlock:","'height,","'seed-bearing age,","'seedcrop frequency,","'and cone ripeness","'criteria",
"'","'Height at maturity","'Year first","'Minimum seed-bearing","'Years between large seed-","'Cone ripeness","'criteria",
"'Species","'(m)","'cultivated","'age (yr)","'crops","'Pre-ripe color","'Ripe color",
"'T. canadensis","'18-30","'1736","'20-30","'2-3 15","'Yellow-green Green","'Purple-brown Tan to brown",
"'T. caroliniana","'12-21","'1881","'-","'-","'Purple","'Light brown",
"'T. heterophylla","'18-75","'1851","'20-30","'5-8","'Green with purple tips","'Brown with red-brown tips",
"'T. mertensiana","'7.5-45","'1854","'20-30","'I-5","'Yellow-green to brown","'Brown",
,,,,,,

'Confidence Scores % (Table Cell)
"'91.35742188","'91.35742188","'91.35742188","'91.35742188","'91.35742188","'91.35742188","'91.35742188",
"'93.70117188","'93.55468750","'94.97070313","'95.16601563","'93.11523438","'88.13476563","'88.13476563",
"'93.70117188","'93.55468750","'94.97070313","'95.16601563","'93.11523438","'85.88867188","'84.17968750",
"'82.08007813","'79.34570313","'80.95703125","'82.91015625","'82.08007813","'82.76367188","'81.10351563",
"'77.19726563","'74.65820313","'76.12304688","'78.02734375","'77.19726563","'77.83203125","'76.31835938",
"'43.57910156","'42.11425781","'42.96875000","'41.47949219","'44.45800781","'50.48828125","'54.29687500",
"'41.82128906","'40.42968750","'41.25976563","'41.47949219","'44.45800781","'50.48828125","'54.29687500",
