"'Table 5-Tsuga,","'hemlock:","'seed storage","'conditions",
"'Species","'Seed moisture (%)","'Temp (C)","'Viable period (yrs)",
"'T. canadensis","'-","'5","'4",
"'","'6-8","'1-3","'-",
"'","'-","'-3","'-",
"'T. heterophylla","'7-9","'-18","'5-7",
"'","'6-8","'0","'-",
"'","'8","'-18","'5+",
"'","'8","'-18","'3+",
"'","'-","'21","'2-3",
,,,

'Confidence Scores % (Table Cell)
"'89.16015625","'89.16015625","'89.16015625","'89.16015625",
"'88.23242188","'91.01562500","'91.11328125","'94.18945313",
"'49.90234375","'86.03515625","'86.08398438","'89.01367188",
"'49.90234375","'81.05468750","'81.15234375","'83.88671875",
"'49.90234375","'77.53906250","'77.63671875","'80.27343750",
"'54.88281250","'82.66601563","'82.76367188","'85.54687500",
"'54.88281250","'78.71093750","'78.75976563","'81.44531250",
"'54.88281250","'77.24609375","'77.34375000","'79.98046875",
"'54.88281250","'75.09765625","'75.19531250","'77.73437500",
"'54.88281250","'86.62109375","'86.71875000","'89.64843750",
