"'Table 6-Tsuga, hemlock:","'stratification treatments","'","'",
"'Species","'Medium","'Temp (C)","'Time (days)",
"'T. canadensis","'Moist sand or peat","'I-5","'30-120",
"'T. caroliniana","'Peat moss","'3-5","'30-90",
"'T. heterophylla","'Moist sand","'I-5","'21-90",
"'","'Plastic bag*","'I-2","'21-56",
"'T. mertensiana","'Moist sand","'5","'90",
,,,

'Confidence Scores % (Table Cell)
"'87.10937500","'87.10937500","'87.10937500","'87.10937500",
"'90.03906250","'93.11523438","'90.03906250","'93.89648438",
"'88.76953125","'91.79687500","'88.76953125","'92.57812500",
"'85.25390625","'88.18359375","'85.25390625","'88.91601563",
"'82.42187500","'85.25390625","'82.42187500","'85.98632813",
"'81.15234375","'83.93554688","'81.15234375","'84.66796875",
"'73.48632813","'75.97656250","'73.48632813","'76.66015625",
