"'Table 1-Cercis, redbud: nomenclature","'and occurrence","'",
"'Scientific name & synonym","'Common name(s)","'Occurrence",
"'C. canadensis L.","'eastern redbud, redbud, Judas-tree","'Connecticut W to S Ontario, Michigan, lowa, & E Nebraska; S to Texas & central Mexico; E to Florida",
"'C. canadensis var. texensis (S.Wats.) M. Hopkins","'Texas redbud","'S Oklahoma to SE New Mexico & Texas",
"'C. canadensis var. mexicana (Rose) M. Hopkins","'Mexican redbud","'E-central Mexico",
"'C. orbiculata Greene C. occidentalis Torr. ex Gray var. orbiculata (Greene) Tidestrom","'California redbud, Arizona redbud, western redbud","'Utah, Nevada, California, & Arizona",
,,

'Confidence Scores % (Table Cell)
""'83.54492188","'83.54492188","'83.54492188",
"'87.84179688","'83.39843750","'89.30664063",
"'75.53710938","'71.72851563","'76.80664063",
"'73.82812500","'70.11718750","'75.04882813",
"'78.46679688","'74.51171875","'79.73632813",
"'93.89648438","'89.20898438","'95.45898438",
