"'Species","'kg/hl","'lb/bu",
"'vine maple","'15.3","'11.9",
"'bigleaf maple","'5.9","'4.6",
"'sugar maple","'13.1","'10.2",
,,

'Confidence Scores % (Table Cell)
""'93.75000000","'90.82031250","'93.55468750",
"'87.93945313","'85.15625000","'87.74414063",
"'90.28320313","'87.45117188","'90.08789063",
"'92.96875000","'90.03906250","'92.77343750",
