"'Table 4-Morus,","'mulberry: seed","'yield data","'","'","'",
"'","'","'Seeds","'(x1,000)/weight","'","'",
"'","'","'Range","'","'Average","'",
"'Species","'/kg","'/lb","'/kg","'/lb","'Samples",
"'M. alba","'286-770","'130-350","'517","'235","'18+",
"'M. rubra","'440-1,100","'200-500","'792","'360","'4",
,,,,,

'Confidence Scores % (Table Cell)
"'93.50585938","'93.50585938","'93.50585938","'93.50585938","'93.50585938","'93.50585938",
"'58.78906250","'73.87695313","'73.87695313","'73.87695313","'73.87695313","'48.24218750",
"'58.78906250","'76.85546875","'76.85546875","'76.70898438","'76.70898438","'48.24218750",
"'58.78906250","'81.98242188","'90.47851563","'89.50195313","'82.95898438","'48.24218750",
"'84.47265625","'78.02734375","'86.08398438","'85.15625000","'78.95507813","'87.35351563",
"'87.50000000","'80.76171875","'89.11132813","'88.18359375","'81.73828125","'90.47851563",
