"'Table I-Shepherdia, buffaloberry:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name","'Occurrence",
"'S. argentea (Pursh) Nutt. Lepargyrea argentea (Pursh) Greene Elaeagnus utilis A. Nels.","'silver buffaloberry, buffaloberry, redberry, silverberry, bullberry, wild-oleaster","'Manitoba to Alberta, to Oregon & California, through the Great Basin to New Mexico, Kansas & the Dakotas",
"'S. canadensis (L.) Nutt. Lepargyrea canadensis (L.) Greene Elaeagnus canadensis (L.) A. Nels.","'russet buffaloberry, Canadian buffaloberry, thornless buffaloberry, wild-oleaster, wild-olive, nannyberry, soapolalillie, soapberry","'Newfoundland to Alaska, from central Maine, to Washington, through Oregon, Utah, & New Mexico",
"'S. rotundifolia Parry Lepargyrea rotundifolia (Parry) Green","'roundleaf buffaloberry","'S Utah, N Arizona",
,,

'Confidence Scores % (Table Cell)
"'84.27734375","'84.27734375","'84.27734375",
"'82.66601563","'83.64257813","'85.20507813",
"'56.93359375","'57.61718750","'58.74023438",
"'60.30273438","'61.03515625","'62.20703125",
"'73.68164063","'74.56054688","'75.97656250",
