"","datasetID","study","genusspecies"
"15542","moeini21","exp1","Lepyrodiclis_holosteoides"
"15568","moeini21","exp2","Lepyrodiclis_holosteoides"
"15580","moeini21","exp3","Lepyrodiclis_holosteoides"
"15588","moeini21","exp4","Lepyrodiclis_holosteoides"
"30467","zhang21","exp2","Pinus_koraiensis"
"21991","sundaramoorthy93","exp1","Spermacoce_articularis"
"22027","sundaramoorthy93","exp2","Spermacoce_articularis"
"22775","tilki06","exp1","Quercus_vulcanica"
"22794","tilki06","exp2","Quercus_vulcanica"
"22322","tang10a","exp1","Dichotomanthes_tristaniicarpa"
"22329","tang10a","exp2","Dichotomanthes_tristaniicarpa"
"22337","tang10a","exp3","Dichotomanthes_tristaniicarpa"
"22361","tang10a","exp4","Dichotomanthes_tristaniicarpa"
"22363","tang10a","exp5","Dichotomanthes_tristaniicarpa"
"15648","momonoki79","exp1","Bupleurum_falcatum"
"15760","momonoki79","exp2","Bupleurum_falcatum"
"15874","momonoki79","exp4","Bupleurum_falcatum"
"22826","tilki07","exp1","Juniperus_oxycedrus"
"17071","ochuodho08","exp3","Sisymbrium_capense"
"4179","chakraborty92","exp1","Terminalia_bellirica"
"4201","chakraborty92","exp2","Terminalia_bellirica"
"676","al-absi10","exp1","Prunus_mahaleb"
"10019","kalimuthu95","exp1","Pterocarpus_santalinus"
"10004","kalimuthu95","exp1","Pterocarpus_marsupium"
"NA",NA,NA,NA
"13339","liu13","exp2","Picea_glauca"
"6164","downie98","exp1","Picea_glauca"
"18804","povoa09","exp1","Agrimonia_eupatoria"
"14623","markovic20","exp1","Liriodendron_tulipifera"
"12","acosta13","exp1","Gomphrena_perennis"
"14","acosta13","exp2","Gomphrena_perennis"
"18","acosta13","exp3","Gomphrena_perennis"
"24","acosta13","exp4","Gomphrena_perennis"
"3145","brandel05","exp1","Carex_pendula"
"3165","brandel05","exp1","Carex_remota"
"2867","bhatt00","exp13","Myrica_esculenta"
"2866","bhatt00","exp12","Myrica_esculenta"
"2865","bhatt00","exp11","Myrica_esculenta"
"2864","bhatt00","exp10","Myrica_esculenta"
"2944","bhatt00","exp9","Myrica_esculenta"
"2930","bhatt00","exp7","Myrica_esculenta"
