"'Table Roystonea, royal palm:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'R. borinquena O.F. Cook","'Puerto Rico royal palm","'Puerto Rico & Vieques; St. Croix, VirginIslands; Tortola, British Virgin Islands",
"'R. elata (Bartr.) F. Harper R. regia (H.B.K.) O.F. Cook Oreodoxa regia (H.B.K.)","'Cuban royal palm, Florida royal palm","'Cuba; naturalized in S Florida & Hawaii",
,,

'Confidence Scores % (Table Cell)
"'86.81640625","'86.81640625","'86.81640625",
"'82.61718750","'81.00585938","'85.20507813",
"'64.84375000","'63.57421875","'66.89453125",
"'73.63281250","'72.16796875","'75.92773438",
