"'Table I Encelia, encelia:","'nomenclature and occurrence","'",
"'Scientific name","'Common names","'Occurrence",
"'E. californica Nutt.","'California brittlebush","'Coastal California scrub to Baja California",
"'E. farinosa Gray ex Torr.","'brittlebush, incienso, goldenhills","'Deserts of SW Utah, Arizona, & NW Mexico",
"'E. frutescens (Gray) Gray","'rayless encelia, green brittlebush","'Deserts of S Nevada, W Arizona, & Baja California",
"'E. virginensis A. Nels.","'Virgin River encelia, brittlebush","'E Mojave to SW Virgin River, Utah, & NW Arizona",
"'E. virginensis var. actonii (Elmer) B.L. Turner","'Acton brittlebush","'SW California, SW Nevada to N Baja California",
,,

'Confidence Scores % (Table Cell)
""'86.86523438","'86.86523438","'86.86523438",
"'88.52539063","'89.84375000","'91.30859375",
"'67.82226563","'68.79882813","'69.92187500",
"'65.72265625","'66.69921875","'67.82226563",
"'56.10351563","'56.93359375","'57.86132813",
"'55.81054688","'56.68945313","'57.56835938",
"'75.14648438","'76.26953125","'77.49023438",
