"'2-Elaeagnus,","'elaeagnus: phenology","'flowering","'fruiting","'","'",
"'Species","'Location","'Flowering","'Fruit ripening","'Seed dispersal","'Seed size (mm)",
"'E. angustifolia","'-","'June","'Aug-Oct","'All winter","'12-13",
"'E. commutata","'Black Hills, South Dakota","'June-July","'Aug-Sep","'Sep-Nov","'8-9",
"'E. umbellata","'","'May-June","'Aug-Oct","'Sep-Nov","'6-8",
,,,,,

'Confidence Scores % (Table Cell)
""'85.15625000","'85.15625000","'85.15625000","'85.15625000","'85.15625000","'85.15625000",
"'89.64843750","'93.06640625","'88.37890625","'92.57812500","'90.42968750","'91.74804688",
"'85.35156250","'88.57421875","'84.13085938","'88.13476563","'86.13281250","'87.35351563",
"'75.58593750","'78.41796875","'74.51171875","'78.02734375","'76.26953125","'77.34375000",
"'88.76953125","'92.13867188","'87.50000000","'91.69921875","'89.59960938","'90.86914063",
