"'Table -Carya, hickory: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common name","'Occurrence",
"'C. alba (L.) Nutt. ex Ell. C. tomentosa (Lam. ex Poir.) Nutt. Hicoria tomentosa (Lam. ex Poir.) Raf.","'mockernut hickory, bullnut, white hickory, whiteheart hickory, hognut, mockernut","'S New Hampshire to S Michigan, S to E Texas & N Florida Valley to Illinois",
"'C. aquatica (Mich f.) Nutt. Hicoria aquatica (Michx. f.) Britt.","'water hickory, bitter pecan swamp hickory","'Coastal plain from Virginia to S Florida & E Texas; N in Mississippi Valley to Illimois",
"'C. cordiformis (Wangenh.) K. Koch. Hicoria cordiformis (Wagenh.) Britt.","'bitternut hickory, bitternut, swamp hickory, pignut","'New Hampshire to Minnesota, S to E Texas & Georgia",
"'C. glabra (P. Mill.) Sweet Hicoria glabra (Mill.) Britt. C. microcarpa (Nutt.) Britt.","'pignut hickory, sweet pignut, pignut, swamp hickory","'New Hampshire to NE Kansas, S to Arkansas & NW Florida",
"'C. illinoensis (Wangenh.) K. Koch Hicoria pecan (Marsh.) Britt. C. oliviformis (Michx. f.) Nutt. C. pecan (Marsh.) Engl & Graebn.","'pecan, sweet pecan, nuez encarcelada","'S Indiana to SE lowa; S to Texas & E to Mississippi & W Tennessee; local to Ohio, Kentucky, & Alabama",
"'C. laciniosa (Michx. f.) G. Don Hicoria laciniosa (Michx. f.) Sarg.","'shellbark hickory, bigleaf shagbark hickory, big shellbark, kingnut, bottom shellbark, big shagbark hickory","'Ohio & Mississippi Valleys; W New York to E Kansas, E to Georgia & Virginia; local in Louisiana, Alabama, & Virginia",
"'C. myristiciformis (Michx. f.) Nutt. Hicoria myristicaeformis (Michx. f.) Britt.","'nutmeg hickory, bitter water hickory, swamp hickory","'Mississippi W to SE Oklahoma, S to E Texas & Louisiana; also E South Carolina & central Alabama",
"'C. ovata (P. Mill.) K. Koch Hicoria alba Britt. p.p.; H. ovata (P. Mill.) Britt.","'shagbark hickory, scalybark hickory, shagbark, shellbark hickory","'Maine to SE Minnesota, S to E Texas & Georgia",
"'C. pallida (Ashe) Engl. & Graebn. Hicoria pallida Ashe","'sand hickory, pale hickory, pallid hickory","'New Jersey & Illinois, S to Florida & SE Louisiana",
,,

'Confidence Scores % (Table Cell)
""'85.15625000","'85.15625000","'85.15625000",
"'90.86914063","'91.16210938","'92.52929688",
"'92.87109375","'93.11523438","'94.53125000",
"'86.86523438","'87.15820313","'88.47656250",
"'84.86328125","'85.10742188","'86.37695313",
"'89.94140625","'90.18554688","'91.55273438",
"'92.96875000","'93.21289063","'94.62890625",
"'93.01757813","'93.26171875","'94.67773438",
"'91.16210938","'91.45507813","'92.82226563",
"'75.68359375","'75.92773438","'77.09960938",
"'85.00976563","'85.30273438","'86.57226563",
