"species","dist_avail"
"Acer_barbinerve",TRUE
"Acer_campestre",TRUE
"Acer_ginnala",FALSE
"Acer_negundo",TRUE
"Acer_pensylvanicum",TRUE
"Acer_platanoides",TRUE
"Acer_pseudoplatanus",TRUE
"Acer_rubrum",TRUE
"Acer_saccharinum",TRUE
"Acer_tataricum",TRUE
"Aesculus_flava",FALSE
"Aesculus_hippocastanum",TRUE
"Aesculus_parviflora",TRUE
"Alnus_glutinosa",TRUE
"Alnus_incana",TRUE
"Alnus_maximowiczii",TRUE
"Amelanchier_florida",FALSE
"Amelanchier_laevis",TRUE
"Amorpha_fruticosa",TRUE
"Aronia_melanocarpa",TRUE
"Berberis_dielsiana",FALSE
"Betula_alleghaniensis",FALSE
"Betula_lenta",TRUE
"Betula_nana",TRUE
"Betula_papyrifera",TRUE
"Betula_pendula",TRUE
"Betula_populifolia",TRUE
"Betula_pubescens",TRUE
"Buddleja_albiflora",FALSE
"Buddleja_alternifolia",TRUE
"Buddleja_davidii",TRUE
"Caragana_pygmaea",FALSE
"Carpinus_betulus",TRUE
"Carpinus_laxiflora",TRUE
"Carpinus_monbeigiana",TRUE
"Carya_cordiformis",TRUE
"Carya_laciniosa",TRUE
"Celtis_caucasica",FALSE
"Celtis_laevigata",TRUE
"Celtis_occidentalis",TRUE
"Cephalanthus_occidentalis",TRUE
"Cercidiphyllum_japonicum",FALSE
"Cercidiphyllum_magnificum",FALSE
"Cercis_canadensis",TRUE
"Cercis_chinensis",TRUE
"Cladrastis_lutea",FALSE
"Cornus_alba",FALSE
"Cornus_kousa",TRUE
"Cornus_mas",TRUE
"Corylopsis_sinensis",TRUE
"Corylopsis_spicata",TRUE
"Corylus_cornuta",FALSE
"Decaisnea_fargesii",FALSE
"Deutzia_gracilis",TRUE
"Deutzia_scabra",TRUE
"Elaeagnus_ebbingei",FALSE
"Eleutherococcus_senticosus",TRUE
"Eleutherococcus_setchuenensis",FALSE
"Eleutherococcus_sieboldianus",TRUE
"Euonymus_europaeus",TRUE
"Euonymus_latifolius",FALSE
"Fagus_crenata",TRUE
"Fagus_engleriana",TRUE
"Fagus_grandifolia",TRUE
"Fagus_orientalis",TRUE
"Fagus_sylvatica",TRUE
"Forsythia_ovata",TRUE
"Forsythia_suspensa",TRUE
"Fraxinus_americana",TRUE
"Fraxinus_chinensis",TRUE
"Fraxinus_excelsior",TRUE
"Fraxinus_latifolia",FALSE
"Fraxinus_nigra",TRUE
"Fraxinus_ornus",TRUE
"Fraxinus_pennsylvanica",TRUE
"Hamamelis_japonica",TRUE
"Hamamelis_vernalis",TRUE
"Hamamelis_virginiana",TRUE
"Heptacodium_miconioides",FALSE
"Hibiscus_syriacus",TRUE
"Hydrangea_arborescens",TRUE
"Hydrangea_involucrata",TRUE
"Hydrangea_serrata",TRUE
"Ilex_mucronata",FALSE
"Juglans_ailantifolia",FALSE
"Juglans_cinerea",TRUE
"Kalmia_angustifolia",FALSE
"Ligustrum_tschonoskii",FALSE
"Liquidambar_orientalis",TRUE
"Liquidambar_styraciflua",TRUE
"Liriodendron_tulipifera",TRUE
"Lonicera_alpigena",TRUE
"Lonicera_caerulea",TRUE
"Lonicera_canadensis",TRUE
"Lonicera_maximowiczii",TRUE
"Lyonia_ligustrina",TRUE
"Nothofagus_antarctica",TRUE
"Nyssa_sylvatica",TRUE
"Oemleria_cerasiformis",TRUE
"Orixa_japonica",TRUE
"Ostrya_carpinifolia",FALSE
"Ostrya_virginiana",TRUE
"Paeonia_rockii",TRUE
"Parrotia_persica",TRUE
"Parrotiopsis_jaquemontiana",FALSE
"Photinia_villosa",FALSE
"Populus_deltoides",TRUE
"Populus_grandidentata",TRUE
"Populus_koreana",FALSE
"Populus_tremula",FALSE
"Prinsepia_sinensis",FALSE
"Prinsepia_uniflora",TRUE
"Prunus_padus",TRUE
"Prunus_pensylvanica",TRUE
"Prunus_serotina",TRUE
