"species","dist_avail"
"Acer_barbinerve",TRUE
"Acer_campestre",TRUE
"Acer_ginnala",TRUE
"Acer_negundo",TRUE
"Acer_pensylvanicum",TRUE
"Acer_platanoides",TRUE
"Acer_pseudoplatanus",TRUE
"Acer_rubrum",TRUE
"Acer_saccharinum",TRUE
"Acer_tataricum",TRUE
"Aesculus_flava",TRUE
"Aesculus_hippocastanum",TRUE
"Aesculus_parviflora",TRUE
"Alnus_glutinosa",TRUE
"Alnus_incana",TRUE
"Alnus_maximowiczii",FALSE
"Amelanchier_florida",FALSE
"Amelanchier_laevis",TRUE
"Amorpha_fruticosa",TRUE
"Aronia_melanocarpa",TRUE
"Berberis_dielsiana",FALSE
"Betula_alleghaniensis",TRUE
"Betula_lenta",TRUE
"Betula_nana",TRUE
"Betula_papyrifera",TRUE
"Betula_pendula",TRUE
"Betula_populifolia",TRUE
"Betula_pubescens",TRUE
"Buddleja_albiflora",FALSE
"Buddleja_alternifolia",TRUE
"Buddleja_davidii",TRUE
"Caragana_pygmaea",TRUE
"Carpinus_betulus",TRUE
"Carpinus_laxiflora",FALSE
"Carpinus_monbeigiana",FALSE
"Carya_cordiformis",TRUE
"Carya_laciniosa",TRUE
"Celtis_caucasica",TRUE
"Celtis_laevigata",TRUE
"Celtis_occidentalis",TRUE
"Cephalanthus_occidentalis",TRUE
"Cercidiphyllum_japonicum",TRUE
"Cercidiphyllum_magnificum",FALSE
"Cercis_canadensis",TRUE
"Cercis_chinensis",TRUE
"Cladrastis_lutea",FALSE
"Cornus_alba",TRUE
"Cornus_kousa",TRUE
"Cornus_mas",TRUE
"Corylopsis_sinensis",FALSE
"Corylopsis_spicata",FALSE
"Corylus_cornuta",TRUE
"Decaisnea_fargesii",FALSE
"Deutzia_gracilis",TRUE
"Deutzia_scabra",TRUE
"Elaeagnus_ebbingei",FALSE
"Eleutherococcus_senticosus",TRUE
"Eleutherococcus_setchuenensis",FALSE
"Eleutherococcus_sieboldianus",TRUE
"Euonymus_europaeus",TRUE
"Euonymus_latifolius",TRUE
"Fagus_crenata",TRUE
"Fagus_engleriana",FALSE
"Fagus_grandifolia",TRUE
"Fagus_orientalis",TRUE
"Fagus_sylvatica",TRUE
"Forsythia_ovata",FALSE
"Forsythia_suspensa",TRUE
"Fraxinus_americana",TRUE
"Fraxinus_chinensis",TRUE
"Fraxinus_excelsior",TRUE
"Fraxinus_latifolia",TRUE
"Fraxinus_nigra",TRUE
"Fraxinus_ornus",TRUE
"Fraxinus_pennsylvanica",TRUE
"Hamamelis_japonica",TRUE
"Hamamelis_vernalis",TRUE
"Hamamelis_virginiana",TRUE
"Heptacodium_miconioides",TRUE
"Hibiscus_syriacus",TRUE
"Hydrangea_arborescens",TRUE
"Hydrangea_involucrata",TRUE
"Hydrangea_serrata",TRUE
"Ilex_mucronata",TRUE
"Juglans_ailantifolia",TRUE
"Juglans_cinerea",TRUE
"Kalmia_angustifolia",TRUE
"Ligustrum_tschonoskii",FALSE
"Liquidambar_orientalis",TRUE
"Liquidambar_styraciflua",TRUE
"Liriodendron_tulipifera",TRUE
"Lonicera_alpigena",TRUE
"Lonicera_caerulea",TRUE
"Lonicera_canadensis",TRUE
"Lonicera_maximowiczii",TRUE
"Lyonia_ligustrina",TRUE
"Nothofagus_antarctica",TRUE
"Nyssa_sylvatica",TRUE
"Oemleria_cerasiformis",TRUE
"Orixa_japonica",TRUE
"Ostrya_carpinifolia",TRUE
"Ostrya_virginiana",TRUE
"Paeonia_rockii",FALSE
"Parrotia_persica",TRUE
"Parrotiopsis_jaquemontiana",FALSE
"Photinia_villosa",FALSE
"Populus_deltoides",TRUE
"Populus_grandidentata",TRUE
"Populus_koreana",FALSE
"Populus_tremula",TRUE
"Prinsepia_sinensis",FALSE
"Prinsepia_uniflora",FALSE
"Prunus_padus",TRUE
"Prunus_pensylvanica",TRUE
"Prunus_serotina",TRUE
