"species","dist_avail"
"Populus_deltoides",TRUE
"Populus_koreana",FALSE
"Populus_tremula",FALSE
"Populus_grandidentata",TRUE
"Euonymus_europaeus",TRUE
"Euonymus_latifolius",FALSE
"Nothofagus_antarctica",TRUE
"Carya_cordiformis",TRUE
"Carya_laciniosa",TRUE
"Alnus_incana",TRUE
"Alnus_glutinosa",TRUE
"Alnus_maximowiczii",TRUE
"Betula_nana",TRUE
"Betula_pendula",TRUE
"Betula_pubescens",TRUE
"Betula_populifolia",TRUE
"Betula_papyrifera",TRUE
"Betula_alleghaniensis",FALSE
"Betula_lenta",TRUE
"Corylus_cornuta",FALSE
"Ostrya_carpinifolia",FALSE
"Ostrya_virginiana",TRUE
"Carpinus_laxiflora",TRUE
"Carpinus_betulus",TRUE
"Carpinus_monbeigiana",TRUE
"Rosa_majalis",TRUE
"Rosa_hugonis",FALSE
"Aronia_melanocarpa",TRUE
"Photinia_villosa",FALSE
"Spiraea_japonica",TRUE
"Spiraea_chamaedryfolia",TRUE
"Spiraea_canescens",TRUE
"Prunus_tenella",TRUE
"Prunus_serrulata",TRUE
"Prunus_pensylvanica",TRUE
"Prunus_serotina",TRUE
"Prunus_padus",TRUE
"Prinsepia_uniflora",TRUE
"Prinsepia_sinensis",FALSE
"Oemleria_cerasiformis",TRUE
"Ulmus_minor",TRUE
"Ulmus_glabra",TRUE
"Ulmus_macrocarpa",TRUE
"Ulmus_pumila",TRUE
"Ulmus_parvifolia",TRUE
"Ulmus_laevis",TRUE
"Ulmus_americana",TRUE
"Ulmus_villosa",TRUE
"Caragana_pygmaea",FALSE
"Robinia_pseudoacacia",FALSE
"Amorpha_fruticosa",TRUE
"Cercis_chinensis",TRUE
"Cercis_canadensis",TRUE
"Tilia_japonica",TRUE
"Tilia_cordata",TRUE
"Tilia_dasystyla",TRUE
"Tilia_platyphyllos",FALSE
"Hibiscus_syriacus",TRUE
"Aesculus_flava",FALSE
"Aesculus_parviflora",TRUE
"Aesculus_hippocastanum",TRUE
"Toona_sinensis",TRUE
"Orixa_japonica",TRUE
"Ptelea_trifoliata",TRUE
"Ribes_divaricatum",TRUE
"Ribes_glaciale",FALSE
"Ribes_alpinum",TRUE
"Hamamelis_virginiana",TRUE
"Hamamelis_vernalis",TRUE
"Hamamelis_japonica",TRUE
"Sinowilsonia_henryi",FALSE
"Corylopsis_sinensis",TRUE
"Corylopsis_spicata",TRUE
"Liquidambar_styraciflua",TRUE
"Liquidambar_orientalis",TRUE
"Cercidiphyllum_japonicum",FALSE
"Cercidiphyllum_magnificum",FALSE
"Parrotia_persica",TRUE
"Paeonia_rockii",TRUE
"Syringa_villosa",TRUE
"Syringa_vulgaris",TRUE
"Syringa_josikaea",TRUE
"Syringa_reticulata",TRUE
"Ligustrum_tschonoskii",FALSE
"Forsythia_ovata",TRUE
"Forsythia_suspensa",TRUE
"Cephalanthus_occidentalis",TRUE
"Viburnum_buddleifolium",TRUE
"Viburnum_carlesii",TRUE
"Viburnum_cassinoides",FALSE
"Viburnum_lantanoides",TRUE
"Viburnum_plicatum",TRUE
"Viburnum_opulus",FALSE
"Viburnum_betulifolium",TRUE
"Weigela_coraeensis",TRUE
"Weigela_florida",TRUE
"Weigela_maximowiczii",TRUE
"Heptacodium_miconioides",FALSE
"Symphoricarpos_albus",TRUE
"Lonicera_maximowiczii",TRUE
"Lonicera_alpigena",TRUE
"Lonicera_canadensis",TRUE
"Lonicera_caerulea",TRUE
"Eleutherococcus_sieboldianus",TRUE
"Eleutherococcus_setchuenensis",FALSE
"Eleutherococcus_senticosus",TRUE
"Ilex_mucronata",FALSE
"Rhododendron_prinophyllum",FALSE
"Rhododendron_canadense",FALSE
"Rhododendron_dauricum",FALSE
"Rhododendron_mucronulatum",FALSE
"Kalmia_angustifolia",FALSE
"Vaccinium_myrtilloides",TRUE
"Lyonia_ligustrina",TRUE
"Nyssa_sylvatica",TRUE
"Cornus_alba",FALSE
"Cornus_kousa",TRUE
"Cornus_mas",TRUE
"Hydrangea_arborescens",TRUE
"Hydrangea_involucrata",TRUE
"Hydrangea_serrata",TRUE
"Deutzia_gracilis",TRUE
"Deutzia_scabra",TRUE
"Decaisnea_fargesii",FALSE
"Berberis_dielsiana",FALSE
"Liriodendron_tulipifera",TRUE
"Acer_pseudoplatanus",TRUE
"Acer_saccharinum",TRUE
"Acer_rubrum",TRUE
"Acer_barbinerve",TRUE
"Acer_negundo",TRUE
"Acer_pensylvanicum",TRUE
"Acer_platanoides",TRUE
"Acer_campestre",TRUE
"Acer_tataricum",TRUE
"Acer_ginnala",FALSE
"Amelanchier_laevis",TRUE
"Amelanchier_florida",FALSE
"Buddleja_davidii",TRUE
"Buddleja_alternifolia",TRUE
"Buddleja_albiflora",FALSE
"Celtis_laevigata",TRUE
"Celtis_occidentalis",TRUE
"Celtis_caucasica",FALSE
"Cladrastis_lutea",FALSE
"Elaeagnus_ebbingei",FALSE
"Fagus_crenata",TRUE
"Fagus_engleriana",TRUE
"Fagus_grandifolia",TRUE
"Fagus_orientalis",TRUE
"Fagus_sylvatica",TRUE
"Fraxinus_excelsior",TRUE
"Fraxinus_ornus",TRUE
"Fraxinus_nigra",TRUE
"Fraxinus_pennsylvanica",TRUE
"Fraxinus_americana",TRUE
"Fraxinus_latifolia",FALSE
"Fraxinus_chinensis",TRUE
"Juglans_cinerea",TRUE
"Juglans_ailantifolia",FALSE
"Parrotiopsis_jaquemontiana",FALSE
"Pyrus_ussuriensis",TRUE
"Pyrus_elaeagnifolia",FALSE
"Quercus_faginea",TRUE
"Quercus_bicolor",TRUE
"Quercus_alba",TRUE
"Quercus_coccifera",TRUE
"Quercus_rubra",TRUE
"Quercus_ellipsoidalis",FALSE
"Quercus_velutina",FALSE
"Quercus_shumardii",TRUE
"Quercus_ilex",TRUE
"Quercus_petraea",TRUE
"Quercus_pubescens",TRUE
"Quercus_robur",TRUE
"Rhamnus_cathartica",TRUE
