Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
C. laevigata,Apr-May,Sept-Oct,Oct-Dec,2,Celtis
C. laevigata var. reticulata,Mar-Apr,Late fall,Fall-winter,2,Celtis
C. occidentalis,Apr-May,Sept-Oct,Oct-winter,2,Celtis
