Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
S. nigra,,,,2,Sambucus
spp. canadensis,June-July,July-Sept,Aug-Oct,2,Sambucus
spp. cerulea,May-July,Aug-Sept,Aug-Oct,2,Sambucus
S. racemosa var. racemosa,Apr-July,June-Aug,June-Nov,2,Sambucus
