Species,Location,Flowering,Cone ripening,Seed dispersal,pdf_table_number,genus_name
P. resinosa,"Great Lakes, California",Apr-June,Aug-Oct,Oct-Nov,3,Pinus
P. rigida,New Jersey,May,Sept,Fall §,3,Pinus
P. roxburghii,India,Feb-Apr,Winter,Apr-May,3,Pinus
P. sabiniana,California,Mar-Apr,Oct,Oct Il,3,Pinus
P. serotina,SE US,Mar-Apr,Sept,Spring §,3,Pinus
P. sibirica,Russia,May,Aug-Sept,Not shed,3,Pinus
P. strobiformis,Arizona,June,Sep,Sept-Oct,3,Pinus
P. strobus,NE US,May-June,Aug-Sept,Aug-Sept,3,Pinus
P. sylvestris,"Great Britain, California",May-June,Sept-Oct,Dec-Mar,3,Pinus
P. taeda,SE US,Feb-Apr,Sept-Oct,Oct-Dec,3,Pinus
P. thunbergiana,"Japan, Long Island",Apr-May,Oct-Nov,Nov-Dec,3,Pinus
P. torreyana,California,Feb-Mar,Jun-Jul*,Sept II,3,Pinus
P. virginiana,E US,Mar-May,Sept-Nov,Oct-Nov §,3,Pinus
P. wallichiana,India,Apr-June,Aug-Oct,Sept-Nov,3,Pinus
P. washoensis,"Nevada, California",July,Aug-Sept,Sept,3,Pinus
