Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
A. californica,May-July,July-Sept,Aug-Sept,3,Amorpha
A. canescens,June-late July,Aug-Sept,Sept-Oct,3,Amorpha
A. fruticosa,May-June,Aug,Sept-Oct,3,Amorpha
A. nana,May-July,July,July,3,Amorpha
