Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
R. allegheniensis,,May-July,Aug-Sept,Aug-Sept,3,Rubus
R. canadensis,,June-July,July-Sept,July-Sept,3,Rubus
R. laciniatus,NE US,June-Aug,July-Oct,Sept-Oct,3,Rubus
R. hispidus,,June-early Sept,Mid-Aug-Oct,Aug-Oct,3,Rubus
R. procerus,Washington,June-Aug,Aug-Sept,,3,Rubus
R. ursinus,Pacific Coast,June-July,Aug-Sept,Oct-Nov,3,Rubus
R. idaeus,Rangewide,Late May-July,Late June-Oct,July-Oct,3,Rubus
R. occidentalis,,Apr-June,June-Aug,June-Aug,3,Rubus
R. spectabilis,Alaska,May-June,June-Aug,June-Aug,3,Rubus
,Oregon-Washington,Apr-May,May-July,June-July,3,Rubus
R. chamaemorus,Boreal North America,June-July,July-Aug,Aug-Sept,3,Rubus
R. odoratus,,June-Sept,July-Sept,July-Sept,3,Rubus
R. parviflorus,Pacific Northwest,May-June,June-July,July-Aug,3,Rubus
