Species,Location,Flowering,Seed ripening & dispersal,pdf_table_number,genus_name
P. X acuminata,Nebraska,May,July,3,Populus
P. alba,Nebraska,Apr-May,Early June,3,Populus
,NE US,Apr-May,May-June,3,Populus
,S Michigan,Mar-Apr,May-June,3,Populus
P. balsamifera,Alberta,Late Apr,Early June-early July,3,Populus
,Lake States,Apr-May,May-June,3,Populus
,Interior Alaska,May-June,July,3,Populus
P. balsamifera spp. trichocarpa,"Vancouver Island, British Columbia",Apr-June,Late May-mid-July,3,Populus
P. X canescens,Great Lakes region,Late Apr,Late May,3,Populus
P. deltoides,Lower Mississippi Valley,Early Mar-early Apr,Mid-May-late Aug,3,Populus
,NE US,Apr-early May,May-mid-June,3,Populus
spp. monilifera,Alberta,,late June-early Aug,3,Populus
,"Lincoln, Nebraska",Apr-May,June,3,Populus
spp. wislizeni,"Albuquerque, New Mexico",Apr-May,June-July,3,Populus
P. fremontii,Central Arizona,mid-Feb-mid-Mar,Mar-Apr,3,Populus
P. grandidentata,"Syracuse, New York",Mid-Mar-mid-Apr,Mid-May-late May,3,Populus
,S Michigan,Late Mar-min-May,early May-late June,3,Populus
,New England,Mid-Mar-Apr,May-early June,3,Populus
,N Great Lakes region,Late Apr-early May,Late May-early June,3,Populus
P. heterophylla,Mississippi,Mar-May,Apr-July,3,Populus
P. maximowiczii,"Rochester, New York",Late Apr,Aug,3,Populus
P. nigra,Rochester. New York,Apr,Late May,3,Populus
P. tremula,N Great Lakes region,Mid-Apr,Mid-May,3,Populus
P. tremuloides,Great Lakes region,Late Mar-early May,Mid-May-mid-June,3,Populus
,"Alberta, Canada",Early Apr-early May,Mid-May-mid-June,3,Populus
,New England,Mid-Mar-Apr,May-early June,3,Populus
,Interior Alaska,Apr-May,Late May-early June,3,Populus
P. tremula,N Great Lakes region,Mid-Apr,Mid-May,3,Populus
