Species,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
A. arbutifolia,Texas,Mar-Apr,Oct-Nov,2,Aronia
,West Virginia,Mar-May,Sept-Oct,2,Aronia
,North,Apr-July,Sept-Nov,2,Aronia
A. melanocarpa,South,Mar-June,Aug,2,Aronia
,North,Apr-July,Aug-Oct,2,Aronia
,West Virginia,June,Sept-Oct,2,Aronia
A. X prunifolia,,Apr-July,Aug-Oct,2,Aronia
