Species,Location,Flowering,Fruit & seed ripening,Seed dispersal,pdf_table_number,genus_name
T. baccata,W Europe,Mar-May,Aug-Oct,Aug-Oct,2,Taxus
T. brevifolia,Washington & Oregon,Mar-May,July-Oct,July-Oct,2,Taxus
T. canadensis,Minnesota & Wisconsin,Apr,Aug-Sept,Aug-Sept,2,Taxus
T. cuspidata,Japan,Apr-June,Sept-Oct,Oct,2,Taxus
T. floridana,NW Florida,Jan-Mar,Aug-Oct,Aug-Oct,2,Taxus
