Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
A. julibrissin,S US,June-Aug,Sept-Nov,Sept-Nov,2,Albizia
A. lebbeck,Puerto Rico,Apr-Sept,year,All year,2,Albizia
A. procera,Puerto Rico,Aug-Sept,Jan-June,All year,2,Albizia
A. saman,,Spring-fall,Fall-spring,All year,2,Albizia
