Species,Location,Flowering,Fruit ripening,Dispersal,pdf_table_number,genus_name
A. auriculiformis,Florida,Mar-Apr,Jun-Jul,Aug-Dec,NA,NA
A. decurrens,California,Feb-Mar,,,NA,NA
A. farnesiana,Puerto Rico,Nov-Feb,Mar-Sep,Mar-Dec,NA,NA
A. koa,Hawaii,Jan-Jul,Jun-Jul,Feb; ;Jun-Nov,NA,NA
A. mangium,Puerto Rico,Mar-Apr,,May-Aug,NA,NA
A. mearnsii,California,Jun & later,Jun-Oct,Jun-Oct,NA,NA
A. melanoxylon,California Hawaii,Feb-Jun May-Jun,Jul-Nov,Jul-Dec or later,NA,NA
A. nilotica,Puerto Rico,Almost continuously,All year,All year,NA,NA
