Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
B. angustifolia,Sept-Oct,Sept-Oct,Oct,2,Baccharis
B. pilularis,July-Oct,Sept-Dec,Fall,2,Baccharis
B. salicifolia,May-July,May-July,May-July,2,Baccharis
