Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
S. americana,May-July,Aug-Oct,Aug-Mar,2,Sorbus
S. aucuparia,May-July,Aug-Oct,Aug- winter,2,Sorbus
S. decora,May-July,Aug-Nov,Aug-Mar,2,Sorbus
S. scopulina,May-July,July,July-Dec,2,Sorbus
S. sitchensis,June-Aug,Aug-Oct,Aug-late winter,2,Sorbus
