Species,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
S. X persica,"NE US, Kansas",May-June,Late Mar-Apr,2,Syringa
S. reticulata var. amurensis,North Dakota,Early June,,2,Syringa
,Manitoba,June-July,Sept-Oct,2,Syringa
S. vulgaris,NE US & Europe,Apr-June,Aug-Oct,2,Syringa
,Kansas,Late Mar-early May,,2,Syringa
,W US,Late Mar-mid-May*,,2,Syringa
