Species,Origin,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
B. koreana,Korea,"NE US & Carver Co., Minnesota",May-early June,Sept-Oct,2,Berberis
B. thunbergii,Japan,Japan,Apr-June,Oct,2,Berberis
,,SE US,Mar-Apr,May-Sept,2,Berberis
,,NE US & Germany,May-June,Sept-Nov,2,Berberis
B. vulgaris,Europe t,NE US & W Europe,Apr-June,Sept-Oct,2,Berberis
