Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
B. alleghaniensis,Mid-range,Apr-May,Aug-Oct,Sept-Spring,NA,NA
B. davurica,Japan,May,Oct,,NA,NA
B. lenta,Mid-range,Apr-May,Aug-Sept,Sept-Nov,NA,NA
B. nana,Mid-range,June-Aug,Aug-Oct,Sept-Mar,NA,NA
B. nigra,N part of range,Apr-May,May-June,May-June,NA,NA
B. papyrifera,Mid-range,Apr-June,Aug-Sept,Aug-Spring,NA,NA
B. pendula,Russia & Finland,Apr-June,July-Aug,July-Sept,NA,NA
B. populifolia,Mid-range,Apr-May,Sept-Oct,Oct to mid-winter,NA,NA
B. pubescens,Germany & Finland,May-June,Aug-Sept,Fall-Winter,NA,NA
B. pumlia,Mid-range,May-June,Sept-Oct,Oct-Mar,NA,NA
