Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
A. californica,S California,Apr-Sept,Sept-Oct,Nov & Dec,2,Aesculus
A. flava,,Apr-June,Sept,Sept,2,Aesculus
A. glabra,,Mar-May,Sept-mid-Oct,Early Sept-late Oct,2,Aesculus
var. arguta,Texas,Mar-Apr,May-June,,2,Aesculus
,Minnesota,May,Sept-Oct,Sept-Oct,2,Aesculus
A. hippocastanum,Europe & NE US,Late Apr-early June,Mid-Sept-early Oct,Mid-Sept-mid-Oct,2,Aesculus
A. parviflora,"SW Georgia, Alabama",July-Aug,Oct-Nov,Oct-Nov,2,Aesculus
A. pavia,South part of range,Mar-Apr,Sept-Oct,Sept-Nov,2,Aesculus
,North part of range,May-June,Sept-Oct,Sept-Nov,2,Aesculus
A. sylvatica,,Apr-May,July-Aug,July-Aug,2,Aesculus
,Minnesota,May,Sept-Oct,Sept-Oct,2,Aesculus
