Species,Flowering,Fruit ripening,Color of ripe fruit,Height of mature trees (m),Year first cultivated,pdf_table_number,genus_name
M. baccata,May,Aug-Oct,Red or yellow,12.2,1784,2,Malus
M. coronaria,Mar-May,Sept-Nov,Yellow-green,9.2,1724,2,Malus
M. floribunda,May,,Red or yellow,3.6-10.0,1862,2,Malus
M. fusca,,Oct-Nov,Green-yellow to yellow & red,8-12.2,1836,2,Malus
M. ioensis,May-June,Sept-Oct,Greenish waxy,,1885,2,Malus
M. pumila,May,Aug-Oct,Yellow to red,15.4,Ancient times,2,Malus
M. X robusta,Apr-May,,Red or yellow-green,,1815,2,Malus
M. sargentii,,,Red,1.8-2.5,,2,Malus
