Species,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
C. americana,,Mar-May,July-Sept,2,Corylus
C. avellana,Europe,Feb-Apr,Sept-Oct,2,Corylus
C. cornuta,Tennessee,Jan-Feb,Aug-Sept,2,Corylus
var. california,California,Jan-Feb,Sept-Oct,2,Corylus
