Species,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
C. columbiana,,May-June,July-Aug,2,Clematis
C. drummondii,SW US,Mar-Sept,Aug-Oct,2,Clematis
C. flammula,,Aug-Oct,Aug-Oct,2,Clematis
C. ligusticifolia,California,Mar-Apr,May-Aug,2,Clematis
,Texas,Mar-Sept,Aug-Nov,2,Clematis
,Colorado & Utah,May-Aug,Oct-Dec,2,Clematis
C. pauciflora,California,Mar-Apr,May-July,2,Clematis
C. virginiana,,July-Sept,July-Sept,2,Clematis
,Minnesota,June-July,Aug-Sept,2,Clematis
C. vitalba,NE US,July-Sept,July-Sept,2,Clematis
,France,June-July,Sept-Oct,2,Clematis
C. viticella,NE US,June-Aug,June-Aug,2,Clematis
