Species,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
A. alnifolia,,May-June,July-Aug,2,Amelanchier
var. semiintegrifolia,Oregon (520 m),Apr,Aug,2,Amelanchier
,"Oregon (1,310 m)",May,,2,Amelanchier
,,May,Aug,2,Amelanchier
A. arborea,,Mar-June,June-Aug,2,Amelanchier
A. canadensis,Carolinas,Mar-April,May-June,2,Amelanchier
,,May,June,2,Amelanchier
A. laevis,,Mar-June,June-Aug,2,Amelanchier
A. sanguinea,,May-June,July-Sept,2,Amelanchier
