Species,Location,Flowering,Fruit ripening,pdf_table_number,genus_name
E. alata,New England & Japan,May-June,Sept-Oct,3,Euonymus
E. americana,Carolinas,May-June,Sept-Oct,3,Euonymus
E. atropurpurea,,May-June,Sept-Oct,3,Euonymus
E. bungeana,NE US,June,Sept-Oct,3,Euonymus
E. europaea,NE US & Europe,May-June,Aug-Nov,3,Euonymus
E. hamiltoniana ssp. maackii,NE US,June,Oct,3,Euonymus
E. obovata,,April-June,Aug-Oct,3,Euonymus
E. verrucosa,NE US & Germany,May-June,Aug-Oct,3,Euonymus
