Species,Flowering,Flower color,Fruit ripening,pdf_table_number,genus_name
C. canadensis,Mar-May,Magenta-purplish pink,July-early autumn,NA,NA
C. canadensis var. texensis,Mar-Apr,Magenta pink,Aug-Sept,NA,NA
C. orbiculata,Feb-May,Magenta pink-reddish purple,July-Sept,NA,NA
