Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
P. occidentalis,E US,Mar-May,Sept-Nov,Jan-Apr,2,Platanus
P. orientalis,NE US,May,Sept-Oct,,2,Platanus
P. racemosa,,,June-Aug,June-Dec,2,Platanus
