Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
P. alleghaniensis,Scattered,Late Apr-May,Aug-Sept,,2,Prunus
P. americana,,Mar-May,June-Oct.,June-Oct,2,Prunus
P. angustifolia,,Mar-Apr,May-July,May-July,2,Prunus
P. armeniaca,California,Feb-Mar,May-June,,2,Prunus
,USSR,Mar-Apr,July,July-Aug*,2,Prunus
P. avium,NE US,Apr-May,June-July,,2,Prunus
P. caroliniana,SE US,Mar-Apr,Sept-Oct,,2,Prunus
P. cerasifera,"Geneva, New York",May 12t,July 15-Aug 10,,2,Prunus
,USSR,Apr-May,Aug,,2,Prunus
P. cerasus,,Apr-May,June-July,,2,Prunus
,"Geneva, New York",May 8-18+,June-July,,2,Prunus
P. domestica,"Geneva, New York",May 12-21+,July 15-Oct I,,2,Prunus
,USSR,May,Aug,,2,Prunus
P. d. var. insititia,US & Canada,Late Apr-May,Aug-Sept,,2,Prunus
,"Geneva, New York",May 16-21+,Aug 20-Oct I,,2,Prunus
P. dulcis,California,Mid Feb-Mar,Late Aug-Oct*,,2,Prunus
P. emarginata,,Apr-June,July-Sept,Aug-Sept*,2,Prunus
P. hortulana,SE US,Mar-May,Aug-Oct,,2,Prunus
P. ilicifolia,,Mar-May,Sept-Oct*,Oct-Dec,2,Prunus
P. laurocerasus,SE Europe & Asia Minor,Apr-May,July-Aug,,2,Prunus
P. mahaleb,NE US & SE Canada,Apr-May,July,,2,Prunus
P. maritima,Maine to Delaware,Apr-June,Sept-Oct,,2,Prunus
P. munsoniana,,Mar-May,July-Sept*,,2,Prunus
,"Geneva, New York",May 20-24-,July 15-Sept 10,,2,Prunus
P. padus,Philadelphia & vicinity,End Apr-early May,Late June-July,,2,Prunus
,USSR,May-early June,June-Aug,Aug*,2,Prunus
P. pensylvanica,,Late Mar-early July,July-Sept,,2,Prunus
,"Warren Co., Pennsylvania",May I-15,Late July-early,,2,Prunus
P. persica,NE US,Apr-May,July-Sept,,2,Prunus
,SE US,Feb-Apr,May-Aug,,2,Prunus
P. pumila,,May-July,July-Sept,,2,Prunus
P. pumila. var. besseyi,Nebraska,Apr-May,July-Sept,July-Sept,2,Prunus
P. serotina,Central Mississippi,Early Apr,June-July,July,2,Prunus
,N Pennsylvania,Late May-early June,Late Aug-Sept,Aug 20-Sept; rarely Nov,2,Prunus
,,Late Apr-June 10,June-Sept.,July I-Sept,2,Prunus
P. spinosa,USSR,Apr-May,Aug-Sept,Sept,2,Prunus
P. subcordata,,Mar-May,Aug-Sept,,2,Prunus
P. tomentosa,"Cheyenne, Wyoming",Early May,Late July,Early Aug,2,Prunus
,"Bismarck, N Dakota",May 10-15,July 10-15,July 15-Sept I,2,Prunus
P. umbellata,SE United States,Mar-Apr,Aug-Sept,,2,Prunus
P. virginiana,E US,Late Apr-early June,July-Oct,,2,Prunus
,"Warren Co., Pennsylvania",May 10-20,Early Aug,,2,Prunus
,California,,Aug-Sept*,,2,Prunus
