Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
C. acutifolius,N Great Plains,May-June,Sept-Oct,Sept-winter,2,Cotoneaster
C. apiculatus,S Michigan,May-June,Aug-Sept,Fall-winter,2,Cotoneaster
C. horizontalis,,June,Sept-Nov,Sept-winter,2,Cotoneaster
C. integerrimus,Great Plains,May-June,Aug-Sept,,2,Cotoneaster
C. lucidus,North Dakota,May-June,Sept,,2,Cotoneaster
C. niger,,May-June,,,2,Cotoneaster
