Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
F. grandifolia,March-May,Sept-Nov,Sept-Nov (after frost),2,Fagus
F. sylvatica*,Apr-May,Sept-Oct,Oct-Nov (after frost),2,Fagus
