Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
R. hispida,May-June,July-Sept,,2,Robinia
R. hispida var. fertilis,Early June,Sept,Oct-Nov,2,Robinia
R. neomexicana,,Sept,Sept-Oct,2,Robinia
R. pseudoacacia,,Sept-Oct,Sept-Apr,2,Robinia
