Species,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
C. alba,Apr-May,Sept-Oct,Sept-Oct,2,Carya
C. aquatica,Mar-May,Sept-Nov,Oct-Dec,2,Carya
C. cordiformis,Apr-May,Sept-Oct,Sept-Dec,2,Carya
C. glabra,Apr-May,Sept-Oct,Sept-Oct,2,Carya
C. illinoensis,Mar-May,Sept-Oct,Sept-Oct,2,Carya
C. laciniosa,Apr-June,Sept-Nov,Sept-Oct,2,Carya
C. myristiciformis,Apr-May,Sept-Oct,Sept-Oct,2,Carya
C. ovata,Apr-June,Sept-Oct,Sept-Oct,2,Carya
C. pallida,Mar-Apr,Sept-Oct,Sept-Oct,2,Carya
