Species,Location,Flowering,Cone ripening,Seed dispersal,pdf_table_number,genus_name
P. macrocarpa,S California,February-mid-Apr,Early Aug-early Oct,Late Aug-late Oct,2,Pseudotsuga
P. menziesii var. glauca,"Central Colorado (elev. 2,060-2,880 m)",Mid-Apr-early May,,,2,Pseudotsuga
,"Montana (elev. 700-1,700 m)",Late May-early June,Late July-early Aug,Late Aug-mid-Sept*,2,Pseudotsuga
,"Northern Idaho (elev. 820-1,000 m)",Early May-late June,Mid-Aug,Early Sept*,2,Pseudotsuga
,Central Oregon,Mid-May-mid-June,,Mid-Aug-mid-Sept*,2,Pseudotsuga
P. menziesii var. menziesii,Coastal British Columbia,Late Mar-mid-May,Aug,Sept-late Mar,2,Pseudotsuga
,W-central Oregon & W Washington,Mid-Mar-early Junet,Aug,Late Aug-late Mart,2,Pseudotsuga
,S Oregon,Early Apr-early May,,Mid-Aug*,2,Pseudotsuga
,N California,,August,Sept-early winter,2,Pseudotsuga
