Species,Location,Flowering,Fruit ripening,Seed dispersal,Seed size (mm),pdf_table_number,genus_name
E. angustifolia,,June,Aug-Oct,All winter,12-13,2,Elaeagnus
E. commutata,"Black Hills, South Dakota",June-July,Aug-Sep,Sep-Nov,8-9,2,Elaeagnus
E. umbellata,,May-June,Aug-Oct,Sep-Nov,6-8,2,Elaeagnus
