"'Table I-Parkinsonia, palo verde:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. aculeata L.","'palo verde, Jerusalem-thorn, horsebean, retama, palo de ray, palo rayo","'South to trans-Pecos Texas & S Arizona; widely distributed in tropical America; Puerto Rico",
"'P. florida (Benth. ex Gray) S. Wats Cercidium floridum Benth. ex Gray","'blue palo verde","'SW US",
"'P. microphylla Torr. Cercidium mycrophyllum (Torr.) Rose & I.M. Johnston","'yellow palo verde","'SW US",
,,

'Confidence Scores % (Table Cell)
"'91.74804688","'52.44140625","'52.44140625",
"'86.27929688","'83.15429688","'86.96289063",
"'93.55468750","'90.13671875","'94.28710938",
"'84.61914063","'81.54296875","'85.25390625",
"'93.84765625","'90.42968750","'94.58007813",
