"'Table I-Rhododendron, rhododendron","'and azalea: nomenclature and","'occurrence (continued)",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'R. periclymenoides (Michx.) Shinners R. nudiflorum (L.) Torr. Azalea nudiflora L. R. periclymenoides var. eglandulosum Seymour R. nudiflorum var. glandiferum (Porter) Rehd.","'pinxterbloom, pinxter flower, honeysuckle, pink azalea","'Maine to South Carolina & Tennessee",
"'R. prinophyllum (Small) Millais R. roseum (Loisel.) Rehd. R. nudiflorum var. roseum (Loisel.) Wieg. Azalea prinophylla Small","'rose-shell azalea, early azalea, piedmont azalea, mayflower azalea","'S Quebec, through New England to Virginia & W as far as Missouri",
"'R. prunifolium (Small) Millais Azalea prunifolia Small","'plumleaf azalea, plum-leaved azalea","'Georgia & Alabama",
"'R. vaseyi A. Gray Azalea vaseyi (A. Gray) Rehd. Biltia vaseyi (A. Gray) Small","'pink-shell azalea","'North Carolina",
"'R. viscosum (L.) Torr. Azalea viscosa L. R. serrulatum (Small) Millias Azalea serrulatum Small R. viscosum var. aemulans Rehd. R. viscosum var. glaucum (Michx.) A. Gray R. viscosum var. montanum Rehd. R. viscosum var. nitidum (Pursh) A. Gray R. viscosum var. serrulatum (Small) Ahles R. viscosum var. tomentosum Rehd. R. coryi Shinners","'swamp azalea, white swamp azalea, swamp honeysuckle, clammy azalea, hammock-sweet azalea","'Swamps from Maine to Florida & Louisiana",
"'","'","'",
,,

'Confidence Scores % (Table Cell)
"'86.42578125","'86.42578125","'86.42578125",
"'88.91601563","'88.28125000","'90.47851563",
"'92.33398438","'91.69921875","'93.89648438",
"'91.79687500","'91.16210938","'93.40820313",
"'66.50390625","'66.01562500","'67.62695313",
"'61.13281250","'60.69335938","'62.20703125",
"'89.59960938","'88.96484375","'91.11328125",
"'67.67578125","'67.18750000","'68.84765625",
