"'Table -Tilia, linden: nomenclature,","'and occurrences","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'T. americana L. T. glabra Venten.","'American linden, basswood, whitewood, American lime, bee-tree","'New Brunswick S to Virginia & Texas",
"'T. americana var. caroliniana (P. Mill.) Castigl.","'Carolina basswood","'SE US",
"'T. americana var. heterophylla (Venten.) Loud.","'white basswood","'West Virginia to Florida, W to Indiana & Alabama",
"'T. cordata P. Mill. T. parviflora J. F. Ehrh. ex Hoffm.)","'littleleaf linden, small-leaved lime, European linden","'Europe",
"'T. euchlora K. Koch T. cordata X T. dasystyla","'Crimean linden, Caucasian lime","'SE Europe & SW Asia",
"'T. europaea L. T. cordata X T. platyphyllos T. intermedia DC. T. vulgaris Hayne","'European linden, common linden, lime","'Europe",
"'T. mexicana Schldl.","'Mexican basswood","'Mexico",
"'T. petiolaris DC.","'pendent silver linden, pendent white lime, weeping lime","'SE Europe & W Asia",
"'T. platyphyllos Scop. T. europaea var. grandiflora Hort.","'bigleaf linden, large-leaved lime, largeleaf linden","'Europe to SW Asia",
"'T. tomentosa Moench T. argentea DC.","'silver linden, European white linden","'SW Europe & Asia",
,,

'Confidence Scores % (Table Cell)
"'75.58593750","'75.58593750","'75.58593750",
"'90.28320313","'91.11328125","'93.06640625",
"'89.50195313","'90.33203125","'92.23632813",
"'76.12304688","'76.85546875","'78.46679688",
"'81.54296875","'82.27539063","'84.03320313",
"'75.34179688","'76.07421875","'77.68554688",
"'76.95312500","'77.63671875","'79.29687500",
"'92.87109375","'93.75000000","'95.75195313",
"'71.63085938","'72.31445313","'73.82812500",
"'89.64843750","'90.47851563","'92.38281250",
"'88.47656250","'89.30664063","'91.21093750",
"'91.40625000","'92.23632813","'94.18945313",
