"'Table -Symphoricarpos, snowberry:","'nomenclature and occurrence","'",
"'Scientific name & synonyms","'Common name(s)","'Natural occurrence*",
"'S. albus var. albus (L.) Blake S. racemosus Michx.","'common snowberry","'Hudson Bay to Alaska, S to California, & E to North Carolina",
"'S. albus var. laevigatus (Fern.) Blake S. albus ssp. laevigatus (Fern.) Hulten S. rivularis Suksdorf","'garden snowberry, Columbia snowberry","'S Alaska, S to California, Montana, & Colorado",
"'S. occidentalis Hook.","'western snowberry, buckbrush","'Saskatchewan to British Columbia, wolfberry, N Washington, Utah, New Mexico, to Minnesota, Missouri, & Illinois",
"'S. orbiculatus Moench","'coralberry, Indian currant, snowberry","'New York to North Dakota, S to E Texas & Georgia",
"'S. oreophilus var. oreophilus Gray","'mountain snowberry,","'Southeast variety, Colorado, Arizona, New Mexico, N Sonora, occasionally in Utah",
"'S. oreophilus var. utahensis (Rydb.) A. Nels. S. utahensis Rydb. S. vaccinoides Rydb.","'Utah snowberry","'Northern variety, British Columbia to Montana, S to California, central Nevada, Utah, & Colorado",
"'S. rotundifolia var. parishii (Rydb.) Dempster S. parishii Rydb.","'Parish snowberry","'Southern variety, from S California to Arizona & central Nevada, & barely entering the W edge of Utah",
,,

'Confidence Scores % (Table Cell)
"'66.01562500","'66.01562500","'66.01562500",
"'90.23437500","'88.72070313","'92.18750000",
"'88.37890625","'86.91406250","'90.33203125",
"'90.23437500","'88.72070313","'92.18750000",
"'92.48046875","'90.91796875","'94.48242188",
"'87.15820313","'85.69335938","'89.06250000",
"'87.25585938","'85.79101563","'89.16015625",
"'81.83593750","'80.46875000","'83.64257813",
"'94.28710938","'92.67578125","'96.33789063",
