"'Table -Torreya, torreya:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'T. californica Torr. T. myristica Hook. Tumion californicum (Torr.) Greene T. taxifolia Arn. Tumion taxifolium (Arn.) Greene","'California torreya, California-nutmeg, stinking-yew, stinking-cedar Florida torreya, Florida-nutmeg, stinking-cedar","'Central California-scattered in the Coast Ranges and on western slopes of the Cascades & Sierra Nevada E bank of Apalachicola River & tributaries from Decatur Co., Georgia, to Liberty Co., Florida, & an outlying population in Jackson Co., Florida",
,,

'Confidence Scores % (Table Cell)
"'85.54687500","'85.54687500","'85.54687500",
"'84.91210938","'84.27734375","'87.50000000",
"'46.38671875","'46.06933594","'47.80273438",
