"'Fruits per volume","'8,800/hl","'3,100/bu",
"'Seeds per fruit","'2,033","'-",
"'Seeds per volume of fruit","'2.8 kg/hl","'2.2 Ib/bu",
"'Seeds per weight","'6,200/g","'175,770/oz",
"'Percent moisture content (fresh weight)","'7%","'",
,,

'Confidence Scores % (Table Cell)
"'94.58007813","'91.40625000","'93.75000000",
"'88.28125000","'85.30273438","'87.50000000",
"'93.06640625","'89.94140625","'92.28515625",
"'90.62500000","'87.54882813","'89.84375000",
"'95.65429688","'92.43164063","'94.82421875",
