"'Table 3-Cornus,","'dogwood: height,","'seed-bearing","'age, seedcrop","'frequency, and fruit","'ripeness criteria",
"'Species","'Height at maturity (m)","'Year first cultivated","'Min seed- bearing age (yrs)","'Years between large seedcrops","'Ripe fruit color",
"'C. alba","'3","'1741","'-","'","'Bluish white",
"'C. alternifolia","'5-8","'1760","'-","'-","'Dark blue",
"'C. amomum","'3","'1658","'4-5","'|","'Pale blue or bluish white",
"'C. canadensis","'0.3","'-","'-","'-","'Bright red or scarlet",
"'C. controversa","'9-18","'1880","'-","'-","'Red or purple to blue-black",
"'C. drummondii","'8-14","'1836","'","'","'White",
"'C. florida","'6-12","'1731","'6","'I-2","'Dark red",
"'C. kousa","'8","'1875","'-","'2","'Rose red pinkish",
"'C. macrophylla","'8-11","'1827","'","'-","'Reddish purple to purple black",
"'C. mas","'8","'Ancient","'-","'-","'Scarlet",
"'C. nuttallii","'6-24","'1835","'10","'2","'Bright red to orange",
"'C. officinalis","'6-9","'1877","'-","'-","'Red",
"'C. racemosa","'4","'1758","'","'","'White",
"'C. rugosa","'3","'1784","'","'-","'Light blue to white",
"'C. sanguinea","'2-5","'-","'","'","'Black",
"'C. sericea","'3-6","'1656","'","'","'White or lead colored",
"'C. sericea ssp. occidentalis","'5","'-","'","'-","'White",
,,,,,

'Confidence Scores % (Table Cell)
""'85.15625000","'85.15625000","'85.15625000","'85.15625000","'85.15625000","'85.15625000",
"'95.70312500","'87.69531250","'95.26367188","'95.55664063","'94.43359375","'96.38671875",
"'92.13867188","'84.42382813","'91.69921875","'91.99218750","'90.91796875","'92.77343750",
"'87.54882813","'80.17578125","'87.10937500","'87.40234375","'86.37695313","'88.13476563",
"'89.55078125","'82.08007813","'89.16015625","'89.45312500","'88.37890625","'90.18554688",
"'87.35351563","'80.02929688","'86.96289063","'87.20703125","'86.18164063","'87.93945313",
"'90.47851563","'82.91015625","'90.03906250","'90.33203125","'89.30664063","'91.11328125",
"'81.83593750","'74.95117188","'81.44531250","'81.68945313","'80.76171875","'82.42187500",
"'90.13671875","'82.56835938","'89.74609375","'89.99023438","'88.96484375","'90.77148438",
"'88.96484375","'81.49414063","'88.57421875","'88.81835938","'87.79296875","'89.59960938",
"'91.30859375","'83.69140625","'90.91796875","'91.21093750","'90.13671875","'91.99218750",
"'86.03515625","'78.85742188","'85.64453125","'85.93750000","'84.91210938","'86.66992188",
"'91.99218750","'84.27734375","'91.60156250","'91.84570313","'90.77148438","'92.62695313",
"'86.71875000","'79.44335938","'86.32812500","'86.57226563","'85.59570313","'87.30468750",
"'91.11328125","'83.49609375","'90.72265625","'91.01562500","'89.94140625","'91.79687500",
"'89.06250000","'81.59179688","'88.62304688","'88.91601563","'87.89062500","'89.64843750",
"'85.98632813","'78.80859375","'85.59570313","'85.88867188","'84.86328125","'86.62109375",
"'88.42773438","'81.00585938","'88.03710938","'88.28125000","'87.25585938","'89.06250000",
"'95.36132813","'87.35351563","'94.92187500","'95.21484375","'94.14062500","'96.04492188",
