"'Table I-Corylus, hazel: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'C. americana Walt.","'American hazel, American filbert","'Maine to Saskatchewan, S to Georgia; W to Missouri & Oklahoma",
"'C. avellana L.","'European hazel, European filbert, common filbert","'Europe, to 1,824 m in central Alps",
"'C. cornuta Marsh. C. rostrata Ait.","'beaked hazel, beaked filbert","'Newfoundland to British Columbia, S to Georgia, Missouri, & E Colorado",
"'C. cornuta var. california Marsh. (A.DC.) Sharp","'California hazel, California filbert","'Coast ranges from Santa Cruz N to British Columbia",
,,

'Confidence Scores % (Table Cell)
""'91.35742188","'91.35742188","'91.35742188",
"'89.55078125","'90.72265625","'91.65039063",
"'89.79492188","'90.91796875","'91.89453125",
"'87.10937500","'88.23242188","'89.16015625",
"'83.05664063","'84.08203125","'85.00976563",
"'90.47851563","'91.65039063","'92.62695313",
