"'Table I-Colutea,","'bladder-senna: morphological","'characteristics,","'height at maturity, and date","'first cultivated",
"'Scientific name","'Leaflets","'Flowers/ raceme","'Height at maturity (m)","'Year first cultivated",
"'C. arborescens","'9-13","'6-8","'1.8-4.5","'1570",
"'C. orientalis","'7-11","'2-5","'2","'1710",
"'C. X media","'11-13","'Varies","'1.8-3.0","'1809",
,,,,

'Confidence Scores % (Table Cell)
""'93.94531250","'93.94531250","'93.94531250","'93.94531250","'93.94531250",
"'91.60156250","'89.84375000","'91.84570313","'91.60156250","'91.55273438",
"'82.42187500","'80.81054688","'82.66601563","'82.42187500","'82.42187500",
"'76.07421875","'74.60937500","'76.26953125","'76.07421875","'76.02539063",
"'88.76953125","'87.01171875","'89.01367188","'88.76953125","'88.72070313",
