"'Table 1-Diospyros, persimmon:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'D. kaki L.f. D. chinensis Blume","'Japanese persimmon, kaki, keg fir, date-plum","'NE Asia & Japan",
"'D. lotus L. D. japonica Siebold & Zucc.","'date-plum","'NE Asia & Japan",
"'D. texana Scheele","'Texas persimmon, black persimmon","'SE Texas to central & trans-Pecos Texas",
"'D. virginiana L. D. mosieri Small","'common persimmon, eastern persimmon","'S Connecticut to SE Nebraska, S to Gulf of Mexico",
,,

'Confidence Scores % (Table Cell)
""'90.86914063","'90.86914063","'90.86914063",
"'85.74218750","'85.93750000","'88.13476563",
"'83.88671875","'84.08203125","'86.23046875",
"'81.05468750","'81.25000000","'83.30078125",
"'77.63671875","'77.78320313","'79.78515625",
"'82.95898438","'83.15429688","'85.25390625",
