"'Table 9-Abies, fir:","'experiences with seed storage","'conditions (recommended","'conditions are in bold face)",
"'Species","'Moisture content (% fresh wt)","'Storage temp (C)","'Possible storage period (yr)",
"'A. alba","'5-7","'-3 to 7","'2-6",
"'","'5-8","'-10 to -17","'15",
"'","'<9","'-15","'4-5",
"'A. amabilis","'6-8","'-17","'> 5",
"'A. balsamea","'5-8","'+0.5 to +4","'5",
"'","'6-8","'-17","'13",
"'A. cephalonica","'9-11","'+ 4","'I-2",
"'A. concolor","'5-8","'0 to -18","'7",
"'","'6-10","'-18","'3",
"'A. firma","'-","'-2 to -4","'>6",
"'A. fraseri","'10-15","'-12","'-",
"'A. grandis","'5-8","'-7","'> 2",
"'","'7-10","'-4 to -10","'3",
"'","'11","'-4","'10 +",
"'","'9-11","'+4","'I-2",
"'","'<9","'-15","'> 5",
"'A. guatemalensis","'6-8","'+3 to +4","'<1",
"'A. homolepis","'-","'-2 to +4","'>6",
"'A. lasiocarpa","'5-8","'-17","'> 5",
"'A. magnifica","'9-11","'+5","'5",
"'A. mariesii","'-","'-2 to +4","'> 6",
"'A. nordmanniana","'9-11","'+4","'2",
"'","'<9","'-15","'> 5",
"'A. procera","'6-9","'0 to -18","'7",
"'","'6-9","'-4","'> 10",
"'A. sachalinensis","'-","'-2 to +4","'> 6",
"'A. X shastensis","'II","'-4","'> 10",
,,,

'Confidence Scores % (Table Cell)
""'88.81835938","'88.81835938","'88.81835938","'88.81835938",
"'95.21484375","'94.87304688","'93.75000000","'95.89843750",
"'68.60351563","'78.51562500","'77.58789063","'79.34570313",
"'68.60351563","'75.68359375","'74.80468750","'76.51367188",
"'68.60351563","'81.54296875","'80.56640625","'82.42187500",
"'90.42968750","'90.13671875","'89.06250000","'91.11328125",
"'54.10156250","'76.75781250","'75.83007813","'77.53906250",
"'54.10156250","'81.73828125","'80.76171875","'82.56835938",
"'91.40625000","'91.06445313","'89.99023438","'92.04101563",
"'54.39453125","'79.29687500","'78.36914063","'80.12695313",
"'54.39453125","'85.49804688","'84.47265625","'86.37695313",
"'90.67382813","'90.38085938","'89.30664063","'91.30859375",
"'90.18554688","'89.84375000","'88.81835938","'90.82031250",
"'55.07812500","'80.71289063","'79.78515625","'81.59179688",
"'55.07812500","'81.15234375","'80.22460938","'82.03125000",
"'55.07812500","'80.46875000","'79.49218750","'81.29882813",
"'55.07812500","'82.42187500","'81.44531250","'83.30078125",
"'55.07812500","'80.56640625","'79.58984375","'81.39648438",
"'88.08593750","'87.79296875","'86.76757813","'88.72070313",
"'87.06054688","'86.76757813","'85.74218750","'87.69531250",
"'87.69531250","'87.40234375","'86.37695313","'88.33007813",
"'89.06250000","'88.76953125","'87.74414063","'89.69726563",
"'90.38085938","'90.03906250","'88.96484375","'91.01562500",
"'86.66992188","'86.37695313","'85.35156250","'87.30468750",
"'88.23242188","'87.93945313","'86.91406250","'88.86718750",
"'48.33984375","'72.94921875","'72.07031250","'73.73046875",
"'48.33984375","'66.40625000","'65.62500000","'67.08984375",
"'86.37695313","'86.08398438","'85.10742188","'87.01171875",
"'40.82031250","'40.67382813","'40.18554688","'41.11328125",
