"'Table 8-Abies,","'fir:","'cone","'measurements","'and yields","'of cleaned","'seeds","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'Seed","'wt/","'Seed","'wt/","'","'","'Seeds/wt","'","'","'",
"'Species","'Cone","'wt/vol","'No. of","'cones","'cone","'wt","'cone","'vol Seeds/","'","'Range","'","'","'Average","'",
"'","'kg/hl","'Ib/bu","'/hl","'/bu","'g/kg","'oz/100lb","'kg/hl","'oz/bu","'cone","'/kg","'/lb","'/kg","'/lb","'Samples",
"'A. alba","'36","'28","'","'","'55","'89","'2","'25","'","'17,400-41,000","'7,900-18,600","'22,500","'10,200","'>72",
"'A. amabilis","'","'","'","'","'","'","'3.7","'48","'400","'17,200-36,400","'7,800-16,500","'24,250","'11,000","'66",
"'","'","'","'","'","'","'","'","'","'","'21,800-45,900","'9,900-20,800","'30,450*","'13,800 *","'8",
"'A. balsamea","'45","'35","'2,700-5,500","'1,000-2,000","'","'","'2.9-3.6","'37-46","'134","'66,150-208,400","'30,000-94,500","'131,400","'59,600","'42",
"'A. concolor","'39-45","'30-35","'","'","'32","'51","'1.3-2.5","'17-32","'185","'18,950-39,100","'8,600-17,720","'24,500","'11,100","'46",
"'A. firma","'","'","'","'","'","'","'","'","'","'20,500-30.900","'9,300-14,000","'25,150","'11,400","'>12",
"'A. fraseri","'","'","'2,500-2,700","'900-1,000","'","'","'2.5-3.7","'32-48","'","'117,950-173,650","'53,500-78,750","'134,050","'60,800","'10",
"'A. grandis","'","'","'700","'250","'","'","'1.9-2.5","'24-32","'115","'26,250-63,500","'11,900-28,800","'40,600","'18,400","'144",
"'","'","'","'","'","'","'","'","'","'","'","'","'44,550*","'20,200*","'12",
"'A. guatemalensis","'","'","'","'","'","'","'","'","'","'30,000-43,000","'13,600-19,500","'36,500","'16,500","'>2",
"'A. homolepis","'54-64","'42-50","'800","'300","'","'","'","'","'67-89","'32,200-49,000","'14,600-22,200","'43,650","'19,800","'19",
"'A. lasiocarpa","'","'","'","'","'","'","'1.7","'22","'","'52,700-108,700","'23,900-49,300","'76,750","'34,800","'19",
"'","'","'","'-","'","'","'","'","'","'","'-","'-","'47,600*","'21,600*","'4",
"'var. arizonica","'","'","'-","'","'","'","'1.2-1.9","'16-24","'","'38,800-56,200","'17,600-25,500","'49,200","'22,300","'8",
"'A. magnifica","'32-39","'25-30","'-","'","'40","'64","'1.4","'18","'","'8,800-19,600","'4,000-8,900","'14,100","'6,400","'36",
"'A. mariesii","'33-41","'26-32","'850","'312","'","'","'","'","'52-65","'42,100-65,050","'19,100-29,500","'50,700","'23,000","'>6",
"'A. nordmanniana","'40-50","'31-39","'-","'","'125","'196","'4.8-5.8","'62-75","'","'11,550-19,000","'5,700-8,600","'15,650","'7,100","'>24",
"'A. procera","'","'","'200","'80","'","'","'1.7-3.6","'22-46","'500","'20,300-42,100","'9,200-19,100","'29,800*","'13,500*","'>36",
"'A. sachalinensis","'","'","'-","'","'","'","'","'","'","'65,050-118,000","'29,500-53,5000","'97,000","'44,000","'>29",
"'A. X shastensis","'","'","'","'","'","'","'","'","'","'11,250-24,700","'5,100-11,200","'16,100*","'7,300*","'36",
"'A. veitchii","'","'","'","'","'","'","'","'","'","'50,700-173,750","'23,000-78,800","'99,200","'45,000","'17",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125","'82.51953125",
"'54.68750000","'73.19335938","'73.19335938","'87.54882813","'87.54882813","'88.67187500","'88.67187500","'92.77343750","'92.77343750","'92.77343750","'90.67382813","'90.67382813","'90.67382813","'90.67382813","'90.67382813",
"'54.68750000","'73.19335938","'73.19335938","'87.54882813","'87.54882813","'88.67187500","'88.67187500","'92.77343750","'92.77343750","'92.77343750","'74.56054688","'74.56054688","'59.91210938","'59.91210938","'79.93164063",
"'54.68750000","'77.63671875","'85.25390625","'89.25781250","'88.67187500","'52.34375000","'52.34375000","'89.99023438","'88.33007813","'87.06054688","'92.91992188","'92.08984375","'90.47851563","'90.38085938","'87.20703125",
"'91.25976563","'78.61328125","'86.37695313","'90.42968750","'89.79492188","'72.65625000","'76.26953125","'91.16210938","'89.45312500","'88.13476563","'94.14062500","'93.26171875","'91.65039063","'91.55273438","'88.33007813",
"'85.69335938","'73.82812500","'81.10351563","'84.91210938","'84.32617188","'68.21289063","'71.63085938","'85.59570313","'84.03320313","'82.81250000","'88.37890625","'87.59765625","'86.03515625","'85.98632813","'82.95898438",
"'84.22851563","'72.55859375","'79.68750000","'83.44726563","'82.86132813","'67.04101563","'70.41015625","'84.13085938","'82.56835938","'81.34765625","'86.86523438","'86.08398438","'84.57031250","'84.47265625","'81.54296875",
"'88.47656250","'76.22070313","'83.74023438","'87.64648438","'87.06054688","'70.45898438","'73.92578125","'88.37890625","'86.76757813","'85.49804688","'91.25976563","'90.42968750","'88.86718750","'88.76953125","'85.64453125",
"'89.79492188","'77.34375000","'84.96093750","'88.96484375","'88.33007813","'71.48437500","'75.04882813","'89.69726563","'88.03710938","'86.71875000","'92.57812500","'91.74804688","'90.13671875","'90.03906250","'86.91406250",
