"'Table I-Dirca","'palustris,","'eastern","'leatherwood: flowering","'and fruit","'production","'in 2 forest","'types in northern","'Wisconsin",
"'","'No.","'3-flower clusters/shrubt","'% cluster w/l-3","'% of all","'clusters with","'fruits","'","'Fruits/plant",
"'Stand type*","'Mean","'Range","'fruits","'I fpc","'2 fpc","'3 fpc","'Mean","'Range",
"'Hardwood forest","'","'","'","'","'","'","'","'",
"'1995","'153","'5-515","'23","'22","'48","'30","'40","'0-386",
"'1995","'198","'21-695","'","'","'-","'-","'194","'13-840",
"'1996","'-","'","'55","'20","'41","'19","'-","'",
"'Pine forest","'","'","'","'","'","'","'","'",
"'1995","'59","'0-255","'2","'0","'77","'23","'3","'0-45",
"'1995","'85","'0-325","'","'14","'57","'29","'","'",
"'1996","'","'","'23","'","'","'","'36","'0-260",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188","'95.26367188",
"'59.57031250","'90.03906250","'90.03906250","'89.01367188","'96.87500000","'96.87500000","'96.87500000","'92.96875000","'92.96875000",
"'59.57031250","'75.24414063","'81.98242188","'89.01367188","'83.25195313","'88.52539063","'84.03320313","'84.08203125","'85.93750000",
"'62.50000000","'62.50000000","'62.50000000","'62.50000000","'62.50000000","'62.50000000","'62.50000000","'62.50000000","'62.50000000",
"'78.07617188","'69.09179688","'75.29296875","'81.10351563","'76.41601563","'81.29882813","'77.14843750","'77.19726563","'78.90625000",
"'78.36914063","'69.33593750","'75.53710938","'81.34765625","'76.70898438","'81.59179688","'77.44140625","'77.49023438","'79.15039063",
"'86.08398438","'76.17187500","'82.95898438","'89.40429688","'84.22851563","'89.59960938","'85.05859375","'85.10742188","'86.96289063",
"'52.05078125","'52.05078125","'52.05078125","'52.05078125","'52.05078125","'52.05078125","'52.05078125","'52.05078125","'52.05078125",
"'77.92968750","'68.94531250","'75.14648438","'80.95703125","'76.31835938","'81.15234375","'77.05078125","'77.09960938","'78.75976563",
"'80.85937500","'71.58203125","'77.97851563","'83.98437500","'79.15039063","'84.22851563","'79.93164063","'79.98046875","'81.73828125",
"'86.57226563","'76.61132813","'83.44726563","'89.89257813","'84.71679688","'90.13671875","'85.54687500","'85.59570313","'87.50000000",
