"'Table I -Elaeagnus, elaeagnus:","'nomenclature and occurence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'E. angustifolia L. E. hortensis Bieb.","'Russian-olive, oleaster, narrow-leafed oleaster","'S Europe, W & Central Asia; Pacific Northwest to Minnesota, S through Great Plains to Mexico",
"'E. commutata Bernh. ex Rydb. E. argentea Pursch, non Moench","'silverberry, wolfberry","'Quebec to Yukon, S to New Mexico, E to Nebraska",
"'E. umbellata Thunb. E. crispa Thunb.","'autumn-olive, autumn elaeagnus","'China, Korea, & Japan; Maine to New Jersey & Pennsylvania, W to SW Minnesota, occasionally S to South Carolina",
,,

'Confidence Scores % (Table Cell)
""'90.13671875","'90.13671875","'90.13671875",
"'86.08398438","'84.96093750","'89.06250000",
"'72.07031250","'71.14257813","'74.56054688",
"'68.94531250","'68.06640625","'71.28906250",
"'86.96289063","'85.83984375","'89.94140625",
