"'Table 6-Pinus, pine: cone","'processing","'schedules and safe","'times to cold- or","'freeze-store dry,","'mature seeds (continued)",
"'","'","'Cone","'processing schedule*","'","'",
"'Species","'Boiling water dip (sec)","'Air-drying (day)","'Kiln-drying (hr)","'Kiln temp (C)","'Seed storage (yr)t",
"'P. pinea","'","'","'-","'-","'18",
"'P. ponderosa var. ponderosa","'0","'-","'3","'49","'18",
"'","'0","'4-12","'0","'","'-",
"'var. scopulorum","'0","'","'2","'74","'>15",
"'","'0","'4-12","'0","'-","'-",
"'P. pumilat","'-","'-","'-","'-","'-",
"'P. pungens","'0","'-","'72","'49","'9",
"'","'0","'30","'0","'","'-",
"'P. quadrifolia","'0","'2-8","'0","'-","'-",
"'P. radiata","'60-120","'0","'48-72","'49","'21",
"'","'60-120","'3-7","'0","'","'-",
"'P. resinosa","'0","'","'13-20","'54","'30",
"'P. rigida9","'-","'","'-","'-","'II",
"'P. roxburghii","'0","'","'-","'-","'>4",
"'P. sabiniana","'0","'","'48","'49","'5",
"'P. serotina","'0","'","'48","'41","'-",
"'P. sibirica:","'-","'-","'-","'-","'>2",
"'P. strobiformis","'0","'14","'0","'-","'-",
"'P. strobus","'0","'-","'15-20","'54","'10",
"'P. sylvestris","'0","'-","'10-16","'49","'15",
"'","'0","'3-7","'0","'","'-",
"'P. taeda","'0","'-","'48","'41","'>9",
"'P. thunbergiana","'0-30","'5-20","'0","'-","'II",
"'P. torreyana","'0","'5-20","'0","'-","'6",
"'P. virginiana","'0","'-","'2","'77","'>5",
"'P. washoensis","'0","'4-12","'0","'-","'8",
,,,,,

'Confidence Scores % (Table Cell)
"'92.04101563","'92.04101563","'92.04101563","'92.04101563","'92.04101563","'92.04101563",
"'92.91992188","'75.58593750","'75.58593750","'75.58593750","'75.58593750","'75.58593750",
"'92.91992188","'92.04101563","'95.01953125","'95.70312500","'94.14062500","'93.16406250",
"'90.18554688","'86.96289063","'89.79492188","'90.42968750","'88.96484375","'88.03710938",
"'38.72070313","'68.84765625","'71.09375000","'71.58203125","'70.41015625","'69.67773438",
"'38.72070313","'57.51953125","'59.37500000","'59.76562500","'58.83789063","'58.20312500",
"'42.43164063","'70.11718750","'72.41210938","'72.90039063","'71.72851563","'70.94726563",
"'42.43164063","'63.03710938","'65.08789063","'65.57617188","'64.50195313","'63.81835938",
"'88.76953125","'85.64453125","'88.42773438","'89.06250000","'87.64648438","'86.66992188",
"'42.06542969","'72.75390625","'75.14648438","'75.63476563","'74.41406250","'73.63281250",
"'42.06542969","'67.82226563","'70.01953125","'70.55664063","'69.38476563","'68.65234375",
"'88.96484375","'85.83984375","'88.62304688","'89.25781250","'87.79296875","'86.86523438",
"'42.43164063","'65.72265625","'67.82226563","'68.31054688","'67.23632813","'66.50390625",
"'42.43164063","'70.16601563","'72.46093750","'72.94921875","'71.77734375","'70.99609375",
"'89.11132813","'85.98632813","'88.76953125","'89.40429688","'87.93945313","'87.01171875",
"'89.84375000","'86.66992188","'89.45312500","'90.08789063","'88.67187500","'87.69531250",
"'88.62304688","'85.49804688","'88.23242188","'88.86718750","'87.45117188","'86.52343750",
"'91.69921875","'88.42773438","'91.30859375","'91.94335938","'90.47851563","'89.50195313",
"'87.20703125","'84.13085938","'86.81640625","'87.45117188","'86.03515625","'85.10742188",
"'90.23437500","'87.06054688","'89.89257813","'90.52734375","'89.06250000","'88.13476563",
"'87.25585938","'84.13085938","'86.86523438","'87.50000000","'86.08398438","'85.15625000",
"'91.45507813","'88.18359375","'91.06445313","'91.69921875","'90.23437500","'89.25781250",
"'87.25585938","'84.13085938","'86.86523438","'87.50000000","'86.08398438","'85.15625000",
"'84.71679688","'81.73828125","'84.37500000","'85.00976563","'83.64257813","'82.71484375",
"'82.17773438","'79.29687500","'81.83593750","'82.42187500","'81.10351563","'80.22460938",
"'83.78906250","'80.81054688","'83.44726563","'84.03320313","'82.66601563","'81.78710938",
"'89.99023438","'86.81640625","'89.59960938","'90.23437500","'88.76953125","'87.84179688",
"'87.10937500","'84.03320313","'86.71875000","'87.35351563","'85.93750000","'85.00976563",
"'94.92187500","'91.60156250","'94.53125000","'95.21484375","'93.70117188","'92.67578125",
