"'P. flexilis","'-","'-","'","'","'","'7.1-15.0","'3.2-6.8","'10.8","'10.0","'44",
"'P. gerardiana","'India","'-","'","'","'","'2.4-2.9","'1.1-1.3","'2.4","'4.9","'10",
"'P. glabra","'Louisiana","'-","'","'.13-1.3","'I-1.3","'88-115","'40-52","'101","'1.1","'8",
"'P. halepensis","'Italy","'-","'","'","'","'48-88","'22-40","'62","'46","'>10",
"'P. heldreichii","'-","'-","'","'","'","'35-71","'16-32","'46","'28","'18",
"'P. jeffreyi","'California","'35","'.52","'1.2-2.6","'.9-2.0","'5.8-11.7","'2.6-5.3","'8.2","'3.7","'26",
"'P. keisya","'SE Asia","'-","'","'","'","'44-76","'20-34","'59.5","'27","'>5",
"'P. koraiensis","'Korea","'-","'-","'","'","'1.6-2.0","'0.7-0.9","'1.8","'3.7","'3",
"'P. lambertiana","'California","'37","'.56","'1.9-2.6","'1.5-2.0","'3.3-6.0","'1.5-2.7","'4.6","'2.1","'27",
"'P. leiophylla var. chihuahuana","'-","'-","'","'.90-1.2","'.7-.9","'","'","'88","'40","'>I",
"'P. merkussi","'-","'-","'","'","'","'28-59","'13-27","'40","'18.2","'II",
"'P. monophylla","'Nevada","'-","'","'2.2-6.0","'1.7-4.7","'2.3-2.6","'1.0-1.2","'2.4","'1.1","'2",
"'P. monticola","'Utah","'10","'.15","'.4-1.03","'.3-.8","'31-71","'14-32","'59","'27","'>99",
"'P. mugo","'Germany","'-","'","'1.03","'.8","'126-201","'57-91","'152","'69","'10",
"'P. muricata","'California","'4","'","'.26","'.2","'86-112","'40-50","'103","'46.8","'3",
"'P. nigra","'","'20-40","'.3-.6","'.52-1.5","'.4-1.2","'31-86","'14-39","'57","'26","'>159",
"'P. palustris","'Louisiana","'21","'.32","'1.03","'.8","'6.6-15.4","'3-7","'10.8","'4.9","'220",
"'P. parviflora","'-","'-","'","'-","'","'6.8-10.1","'3.1-4.6","'8.6","'3.9","'>3",
"'P. patula","'South Africa & Mexico","'","'","'","'","'88-132","'40-60","'116","'53","'>3",
"'P. peuce","'","'-","'-","'-","'","'22-31","'10-14","'24","'II","'6",
"'P. pinaster","'","'35-55","'.53-.82","'","'","'15-29","'7-13","'22","'10","'16",
"'P. pinea","'Europe","'","'","'","'","'1.1-1.6","'0.5-0.7","'1.3","'0.6","'4",
"'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
"'81.29882813","'81.34765625","'80.07812500","'80.07812500","'80.07812500","'80.07812500","'73.19335938","'73.19335938","'73.19335938","'73.19335938","'57.27539063",
"'81.29882813","'81.34765625","'52.24609375","'52.24609375","'52.92968750","'52.92968750","'50.29296875","'50.29296875","'53.71093750","'53.71093750","'57.27539063",
"'81.29882813","'81.34765625","'90.03906250","'92.91992188","'93.94531250","'92.04101563","'90.03906250","'92.87109375","'92.18750000","'90.28320313","'57.27539063",
"'88.81835938","'89.59960938","'88.08593750","'90.86914063","'91.89453125","'90.03906250","'88.08593750","'90.82031250","'90.18554688","'88.33007813","'86.76757813",
"'75.58593750","'76.22070313","'74.95117188","'77.34375000","'78.22265625","'76.61132813","'74.95117188","'77.29492188","'76.75781250","'75.14648438","'73.82812500",
"'85.98632813","'86.71875000","'85.30273438","'87.98828125","'88.96484375","'87.20703125","'85.30273438","'87.93945313","'87.30468750","'85.54687500","'83.98437500",
"'86.37695313","'87.15820313","'85.69335938","'88.42773438","'89.40429688","'87.59765625","'85.69335938","'88.37890625","'87.74414063","'85.93750000","'84.37500000",
"'84.71679688","'85.44921875","'84.03320313","'86.66992188","'87.64648438","'85.88867188","'84.03320313","'86.62109375","'86.03515625","'84.22851563","'82.76367188",
"'87.79296875","'88.57421875","'87.10937500","'89.84375000","'90.86914063","'89.01367188","'87.10937500","'89.79492188","'89.16015625","'87.35351563","'85.79101563",
"'90.91796875","'91.69921875","'90.18554688","'93.01757813","'94.09179688","'92.18750000","'90.18554688","'92.96875000","'92.33398438","'90.42968750","'88.81835938",
"'89.06250000","'89.84375000","'88.37890625","'91.16210938","'92.18750000","'90.33203125","'88.37890625","'91.11328125","'90.47851563","'88.62304688","'87.01171875",
"'89.69726563","'90.52734375","'89.01367188","'91.84570313","'92.87109375","'90.96679688","'89.01367188","'91.79687500","'91.11328125","'89.25781250","'87.64648438",
