"'Table 5-Ribes, currant,","'gooseberry: seed yield","'data","'","'","'","'",
"'","'","'","'Cleaned seeds","'(x1,000)/weight","'","'",
"'","'Place","'","'Range","'Average","'","'",
"'Species","'collected","'Akg","'","'Ag","'","'Samples",
"'R. americanum","'","'544-741","'247-336","'690","'313","'4",
"'R. aureum","'","'441-628","'200-285","'514","'233","'4",
"'R. aureum var. villosum","'North Dakota","'234-395","'106-179","'368","'167","'8",
"'R. cereum","'California","'443-624","'201-283","'553","'251","'5",
"'R. cynosbati","'","'417-487","'189-221","'452","'205","'2",
"'R. hudsonianum","'Idaho","'1,389-2,703","'630-1,226","'2,127","'965","'12",
"'R. inerme","'Idaho & California","'780-877","'354-398","'807","'366","'5",
"'R. lacustre","'California","'","'-","'1,135","'515","'I",
"'R. missouriense","'","'344-370","'156-168","'357","'162","'2",
"'R. montigenum","'Utah","'","'-","'313","'142","'I",
"'R. nevadense","'California","'650-935","'295-424","'862","'391","'10",
"'R. roezlii","'California","'388-650","'176-295","'520","'236","'10+",
"'R. sanguineum","'Oregon","'","'","'626","'284","'I",
"'R. viscosissimum","'Idaho & California","'562-769","'255-344","'657","'298","'5",
"'","'","'","'","'","'","'",
,,,,,,

'Confidence Scores % (Table Cell)
"'93.01757813","'93.01757813","'93.01757813","'93.01757813","'93.01757813","'93.01757813","'93.01757813",
"'70.65429688","'71.04492188","'90.13671875","'90.13671875","'90.13671875","'90.13671875","'90.13671875",
"'70.65429688","'71.04492188","'91.06445313","'91.06445313","'84.37500000","'84.37500000","'54.49218750",
"'70.65429688","'71.04492188","'92.04101563","'93.01757813","'90.52734375","'89.40429688","'54.49218750",
"'92.33398438","'91.21093750","'91.30859375","'92.23632813","'89.79492188","'88.67187500","'91.21093750",
"'85.83984375","'84.81445313","'84.91210938","'85.79101563","'83.49609375","'82.47070313","'84.81445313",
"'90.08789063","'88.96484375","'89.06250000","'89.99023438","'87.59765625","'86.52343750","'88.96484375",
"'89.35546875","'88.23242188","'88.33007813","'89.25781250","'86.86523438","'85.79101563","'88.23242188",
"'91.16210938","'90.03906250","'90.13671875","'91.06445313","'88.67187500","'87.54882813","'90.03906250",
"'88.52539063","'87.45117188","'87.54882813","'88.42773438","'86.13281250","'85.00976563","'87.45117188",
"'90.82031250","'89.74609375","'89.84375000","'90.72265625","'88.33007813","'87.25585938","'89.74609375",
"'86.52343750","'85.44921875","'85.54687500","'86.42578125","'84.13085938","'83.10546875","'85.44921875",
"'90.62500000","'89.50195313","'89.59960938","'90.52734375","'88.13476563","'87.01171875","'89.50195313",
"'87.25585938","'86.18164063","'86.27929688","'87.15820313","'84.86328125","'83.78906250","'86.18164063",
"'90.03906250","'88.96484375","'89.01367188","'89.94140625","'87.54882813","'86.47460938","'88.96484375",
"'88.72070313","'87.64648438","'87.74414063","'88.62304688","'86.27929688","'85.20507813","'87.64648438",
"'88.52539063","'87.45117188","'87.54882813","'88.42773438","'86.13281250","'85.00976563","'87.45117188",
"'60.93750000","'60.15625000","'60.25390625","'60.83984375","'59.22851563","'58.49609375","'60.15625000",
"'39.33105469","'39.33105469","'39.33105469","'39.33105469","'39.33105469","'39.33105469","'39.33105469",
